Reactant ID,Reactant SMILES,Product ID,Product SMILES,Catalyst ID,Catalyst Designation,Standard Catalyst Mixture,Mixture Change Note,Solvent 1 ID,Solvent 1 SMILES,Solvent 2 ID,Solvent 2 SMILES,Sol1_Sol2_Ratio,Oxidant ID,Oxidant SMILES,Oxidant Solution ID,Oxidant Solution SMILES,Ox/Ox_Sol,Additive ID,Additive SMILES,Temperature ©,Time,Yield (%),ee (%),er,ddG er (kcal/mol),Multiple Stereocenters,de (%),dr,ddG dr (kcal/mol),Olefin Type,DOI,Additional Notes
react_698,O=C(OCC/C=C/c1ccccc1)c1ccccc1,prod_885,O=C(OCC[C@@H](O)[C@H](O)c1ccccc1)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99.0,199.0,2.873002675,Yes,,,,trans_di,381_98,
react_699,CCCCCCCCC/C=C/CCCCC(=O)OC,prod_886,CCCCCCCCC[C@H](O)[C@@H](O)CCCCC(=O)OC,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,None,None,0,18,97,85.0,12.33333333,1.363583058,Yes,,,,trans_di,382_401,
react_700,CCCCCCCCCC/C=C/CCC(=O)OCC,prod_887,CCCCCCCCCC[C@@H](O)[C@H](O)CCC(=O)OCC,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,None,None,0,Not Reported,94,98.0,99.0,2.494054671,Yes,,,,trans_di,383_445,lactone forms
react_700,CCCCCCCCCC/C=C/CCC(=O)OCC,prod_888,CCCCCCCCCC[C@H](O)[C@@H](O)CCC(=O)OCC,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,24,86,94.0,32.33333333,1.886692938,Yes,,,,trans_di,383_446,lactone forms
react_701,CCOC(=O)CC/C=C/CCCOCc1ccccc1,prod_889,CCOC(=O)CC[C@@H](O)[C@H](O)CCCOCc1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,24,Not Reported,96.0,49.0,2.11233067,Yes,,,,trans_di,383_446,lactone forms
react_701,CCOC(=O)CC/C=C/CCCOCc1ccccc1,prod_890,CCOC(=O)CC[C@H](O)[C@@H](O)CCCOCc1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,24,72,94.0,32.33333333,1.886692938,Yes,,,,trans_di,383_446,
react_702,CCCCCCCC/C=C/COC(=O)c1ccccc1,prod_891,CCCCCCCC[C@@H](O)[C@H](O)COC(=O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,Not Reported,Not Reported,99.0,199.0,2.873002675,Yes,,,,trans_di,384_98,
react_703,CCOCn1cc(/C=C/CCO[Si](C)(C)C(C)(C)C)nc1C(C)=O,prod_892,CCOCn1cc([C@@H](O)[C@H](O)CCO[Si](C)(C)C(C)(C)C)nc1C(C)=O,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,72,65,99.0,199.0,2.873002675,Yes,,,,trans_di,386_392,
react_703,CCOCn1cc(/C=C/CCO[Si](C)(C)C(C)(C)C)nc1C(C)=O,prod_893,CCOCn1cc([C@H](O)[C@@H](O)CCO[Si](C)(C)C(C)(C)C)nc1C(C)=O,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,72,56,98.0,99.0,2.494054671,Yes,,,,trans_di,386_392,
react_704,CC(C)(C)[Si](C)(C)OCC/C=C/CCO[Si](C)(C)C(C)(C)C,prod_894,CC(C)(C)[Si](C)(C)OCC[C@@H](O)[C@H](O)CCO[Si](C)(C)C(C)(C)C,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],None,None,None,adtv_0,CS(N)(=O)=O,0,19,93,94.0,32.33333333,1.886692938,Yes,,,,trans_di,387_460,
