Reactant ID,Reactant SMILES,Product ID,Product SMILES,Catalyst ID,Catalyst Designation,Standard Catalyst Mixture,Mixture Change Note,Solvent 1 ID,Solvent 1 SMILES,Solvent 2 ID,Solvent 2 SMILES,Sol1_Sol2_Ratio,Oxidant ID,Oxidant SMILES,Oxidant Solution ID,Oxidant Solution SMILES,Ox/Ox_Sol,Additive ID,Additive SMILES,Temperature ©,Time,Yield (%),ee (%),er,ddG er (kcal/mol),Multiple Stereocenters,de (%),dr,ddG dr (kcal/mol),Olefin Type,DOI,Additional Notes
react_19,C=Cc1cc(OC)c(OC)c(OC)c1,prod_31,COc1cc([C@H](O)CO)cc(OC)c1OC,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,18,96,97,65.66666667,2.271235608,No,,,,Mono,10.1016/0957-4166(96)00115-2,
react_20,C=CCCCCCCCCCC#N,prod_32,N#CCCCCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,94,87,14.38461538,1.447088905,No,,,,Mono,10.1021/jo00079a024,
react_21,C=CCOCCOc1ccc(Br)cc1,prod_33,OC[C@H](O)COCCOc1ccc(Br)cc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,24,Not Reported,64,4.555555556,0.823015212,No,,,,Mono,10.1021/jp981158x,
react_22,C=CCCCCCCCCC(C)=O,prod_34,CC(=O)CCCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,99,86,13.28571429,1.403955686,No,,,,Mono,10.1021/jo00079a024,
react_23,C=Cc1cccc2c(C)c(C)oc12,prod_35,Cc1oc2c([C@H](O)CO)cccc2c1C,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,3,4,95,98.3,116.6470588,2.611455417,No,,,,Mono,10.1055/s-2000-6237,
react_24,C=CCC(=O)C(C)(C)Sc1ccccc1,prod_36,CC(C)(Sc1ccccc1)C(=O)C[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,77,27,1.739726027,0.328049169,No,,,,Mono,10.1039/B005336H,
react_25,C=CCCCCCCCCC1OCCO1,prod_37,OC[C@H](O)CCCCCCCCC1OCCO1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,93,89,17.18181818,1.543533564,No,,,,Mono,10.1021/jo00079a024,
react_26,C=CCCCCCCCCC(=O)CC,prod_38,CCC(=O)CCCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,96,90,19,1.598128455,No,,,,Mono,10.1021/jo00079a024,
react_27,C=CCC(=O)C1(Sc2ccccc2)CCCC1,prod_39,O=C(C[C@@H](O)CO)C1(Sc2ccccc2)CCCC1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,25,Not Reported,91,29,1.816901408,0.35376386,No,,,,Mono,10.1039/B005342M,
react_28,C=CCCCCCCCCCO[Si](C)(C)C(C)(C)C,prod_40,CC(C)(C)[Si](C)(C)OCCCCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,Not Reported,96,90,19,1.598128455,No,,,,Mono,10.1021/jo00079a024,
