react_id,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,ddG er (kcal/mol)
react_114,1.664836520189801,1.6648635277766122,2.3544754405386428,5.65162475148424,66.968713392304,147.41482817206298,1.6280511965993356,4.129735863152913,8.10397699493633,2.369487550709135,11.01812419567419,147.25465638010073,0.3966976844670258
react_115,1.8117173641879951,3.101731341826832,6.063135960306457,0.0011296479016386,48.951852469507415,143.29968740211186,1.6570863792097985,4.238036925189878,2.7580352742528373,18.91030015589805,47.89499637824754,142.7800346999002,2.271235607736596
react_116,1.7030353328215884,3.1368883459301813,4.501246346847484,16.56995309950818,36.954043234320025,154.5666005907152,0.0004378458200725,3.101745554180794,6.063036175981753,0.0081893088005628,48.6788384735275,147.63993853443606,1.493427750076506
react_117,1.7031250244646985,3.1369837142093133,4.501112109442359,16.569690087807984,38.77813162172111,152.0098681036023,1.3737866012696052,3.1049539799136974,7.412723999858928,0.0055269696843056,6.155421919910381,155.3792520849736,1.8002208906687178
react_118,2.698940322143144,3.1018503515351927,6.063156365242049,8.777686334450371e-05,48.75740196878589,143.5354223155574,1.6821789744951663,3.0921244159237258,3.69509540996894,10.824978020466672,55.69624410936022,149.0090736461777,1.1347740141156684
react_119,3.1094296893171416,5.300760544797719,6.062241691589689,33.60155689562236,46.814801829314725,143.97511995751222,1.6877696176023236,3.285833430587595,8.092217338175441,1.8322720444265628,28.04188649929917,145.14559165821032,1.7249256291987816
react_12,1.6647280624598697,1.66485268605353,2.354439240922688,5.651238263069426,66.97409434875162,151.62836619181013,1.6811105780020643,6.134300086959549,3.7251813437337455,38.40613419460746,38.23977951383893,147.06452559181287,1.1080943139268635
react_120,1.6647792277224909,1.6648749367021956,2.3544921795357374,5.651472135904309,66.82732998685496,150.1141180720905,1.642348596477175,7.186261729899045,3.028842836592054,35.5281752690832,31.84603326265917,149.1727344535385,1.1075894836747928
react_121,0.0004512178967771,3.101769680067491,6.063089818945429,0.0073630648059866,48.75801109222744,146.7281604988768,1.58362549359035,3.196321077158493,3.673715176096253,10.529974140490568,57.268477869072285,147.45257889071425,0.94147487006162
react_122,0.0003974339511959,3.1018334627064643,6.063050492971226,0.0059478701453919,48.88869282569025,147.3781804268054,1.6480059898247494,5.480483420931572,3.58949361952805,32.13000337276349,27.29026657599574,144.56682549323762,0.0
react_123,2.629568533783885,3.695067964110202,6.670014124004211,0.0080618292637617,34.22448102248904,145.11438605157358,1.647905281250796,5.480448418829361,3.5895653148234,32.12783392074094,21.212744120823643,150.0831966017413,0.0
react_124,0.0891293931881576,3.695160903704404,6.669982867592972,0.0069783832468585,34.139216479113095,149.5111476118795,1.6503544476975505,5.415044706503126,3.5561762123113323,30.97811811610784,7.751888903047236,149.58573953695765,1.3635830574449357
react_125,0.0892827953789814,3.6951932289842895,6.669998851662418,0.0066291582957034,34.32551732610788,149.6160154255651,1.6592697695515837,2.907397842820941,2.9072471773166737,12.204028785515504,49.42685649247888,154.31298215941072,1.4470889050346116
react_126,0.0734292855473858,3.695186828468069,6.669981975020083,0.0028711657708656,34.244062643722025,146.50465279568755,1.6648095290545373,1.6648602118846312,2.3544930185818207,5.651900798251089,66.9207987145305,148.80645780399269,1.5981284553068844
react_127,1.6647795328630255,1.66483489354361,2.35452943106418,5.65162557991889,67.34177705876463,149.5173012207363,1.642451285170007,9.134990825741832,3.027950008741055,44.25246776069452,7.988986578806621,149.2263575849515,1.5981284553068844
react_128,1.6647673725922094,1.6648608860162624,2.3544473925117986,5.651240559358115,67.07914834449667,150.32614862709173,1.642335981341685,8.920682137537057,3.0291487379840616,42.87374154577337,9.647976785657177,151.39591315288746,1.3635830574449357
react_129,1.6647964187722644,1.6648295575890368,2.3545156025898253,5.651479454831808,66.81848373486669,148.84882761984525,1.6931337749165187,6.88224120773006,7.688164791280871,77.58253085633459,32.04345119290865,144.39149018596078,0.2657079852228507
react_13,9.81064809182302e-05,3.101744174477952,6.063198472604968,0.0010204362962579,48.86810449101615,141.47221485614446,1.664724394552563,1.6648855335690151,2.354493033954836,5.651471503503948,66.82811016937778,147.3493433546594,1.843456914529765
react_130,1.664728625560265,1.664921071947853,2.3544853936235253,5.651658114239037,66.89954346279275,150.49342652453376,1.6790006706521514,7.062517619371289,3.73150287304304,17.319035498157643,22.3185118141504,145.28147092710296,2.112330669903123
react_131,3.109381756229759,6.371637969176535,6.062295178627493,56.495110028282944,46.18403100535149,139.4538582595226,1.6830837075540794,8.342597513426908,5.082381152901505,65.89875681140954,23.422736273440048,147.93482625548637,1.988440635339029
react_132,0.0001758553129772,2.690681060987231,8.67740499281658,0.004102653203557,36.978330800064825,148.2319303399812,1.6648036582906611,1.6648428308074306,2.354434075354002,5.651161052957459,66.94284651072762,149.04008987045668,1.163063982201545
react_133,1.6897377059558774,6.046961267840411,6.7536213102391285,67.25612445555946,37.162879640622165,147.52323953172004,1.6823106406027544,3.092024546401228,3.695142866642684,19.08117899793465,55.68932286817,149.2871905491595,1.1778165710472606
react_134,2.698889936612507,3.101713380803262,6.063095913721424,0.0025242763963058,48.66627498094676,143.8669602919032,1.6838220135131294,4.42577423490332,3.714703981928901,27.123288618600142,47.36010762062667,148.28379600562434,0.7524273661681956
react_135,0.0003982496854574,3.101730549142564,6.063068067428419,0.0070879767934827,48.72602800135861,142.40852920220203,1.6981370625957624,3.111044912030764,3.662237671890984,19.28388365576416,58.16868331225331,149.28209868632425,1.255752230391482
react_136,0.000165666828927,3.1017948987173454,6.062984776898455,0.002956809158802,48.81985114638225,140.12210401172544,1.68337244662567,5.717112269166933,3.716092053288619,35.62859584381364,45.70133390454293,145.50131792830288,0.6869551246443248
react_137,1.8117052554333213,3.1017505357209023,6.063167224956812,0.0021623697548543,48.8653891320419,142.45736795041958,3.1296963094772035,3.129810571969904,3.629096780108846,30.78568721917516,56.109315395028325,143.51321670072886,0.0870278354710248
react_138,1.8117701949920848,3.1017966423541843,6.0630784605736,0.0035766307086933,49.17250462810704,146.72851573198722,1.674002163985151,3.198037527119389,4.774184426532998,15.689689679438038,51.3208284759103,146.44086049682377,0.7191186577420285
react_139,0.0002807071756701,3.101804346971024,6.063060740462554,0.0035772219846681,48.796028376901134,140.74908461574498,1.6832575003576216,6.605087057136846,3.7159723932468527,36.481672749417655,38.19359588368663,145.16121087090127,0.567711582116237
react_140,0.0003303349469792,3.1017621949229377,6.062993034830087,0.0055035287289141,48.84780167315044,142.4073774085717,1.6861732748299776,3.149864281756856,4.881345423177741,10.6174257560019,48.654295825183546,144.8203302198263,0.6712672806892843
react_141,0.0001615815849914,3.101676462586056,6.063135034022214,0.002990424073831,48.89899904120911,145.69334084589266,1.6882354853758983,5.347669503706347,3.75219861568863,33.740526009224304,36.482919102395385,147.54444382968893,0.4216422978341764
react_142,0.0002638266414231,3.1017589217369843,6.063174034753065,0.0045446197840624,48.71102086140369,145.51960393073523,1.7149801756856098,4.283924255227215,4.83233655782636,4.671124876225704,45.77068461953219,142.42571480402952,1.2139133595650087
react_143,1.6647764815251285,1.6648894582016855,2.3544453761575213,5.651457790561898,67.58381084950906,148.6488303746744,1.6766543279861017,6.867720577788073,10.22857739709086,99.9900120662306,17.164721638174864,138.60861869251633,1.4039556858223057
react_144,1.664794757607439,1.6648682639897172,2.3544074450034254,5.651243722822891,66.79544045764796,148.20570640551696,1.6744557517582113,8.458426970423082,3.8046760602873175,35.30499293729017,20.088305573507206,146.17113916852958,1.1925691598929764
react_145,1.664811452591104,1.6648624071909928,2.3544370566784414,5.651505860107512,66.99775333826132,148.21334432527172,1.6745891623062428,6.05566459199144,7.501790812439519,53.51749147649419,20.196251634892995,149.79576306567324,0.6406162799722864
react_146,1.6647454783545537,1.664847516701496,2.354448760256026,5.651202239194824,66.90637352685714,150.56669383987378,1.6761999720649423,8.706702266717093,6.1618261789025865,25.59882508619752,4.835972066659975,145.46523243152953,2.112330669903123
react_147,1.6569699250948753,8.096648210030802,5.196346357396816,63.05839062338266,24.66074091969758,153.16654959345868,1.682080113861124,3.092142707179685,3.6948200110163705,10.823475498792288,55.6816752847694,147.74287054416075,0.3479594881065919
react_148,3.111105704172145,6.908827236333315,6.061508657292958,83.97913335007993,37.44018140880375,144.31370618296478,3.116519973239882,8.54333107447612,4.608469941318631,75.61803233738769,20.70615158493745,144.80368132684762,1.255752230391482
react_149,1.2385405332174957,3.9352111382010473,9.204848623169871,26.34143537799878,34.51272398302116,140.88839849496526,1.6647668468989958,1.6648448864878975,2.354399032925996,5.651236235999934,67.01807027509008,152.68504965521507,1.886692938390812
