,b1,b5,l,vol,espmin,espmax,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1
react_192,3.3297234350440146,4.799322478500407,5.081939549916073,50.94142496107247,45.36875859229394,143.75214406859797,-7.008,-0.1074,-0.69817,-0.36102,4.06,3.76,2.05,-0.26547,0.0489,167.47606249999998,125.54562499999997,42.921375000000005,9.555145833333333,0.0,0.0,0.0,0.0,0.0,0.0,69.02445833333334,142.49520833333335,78.77327083333334,39.24433333333333,15.03039583333333,0.9305416666666666,0.0,0.0,0.0,0.0
react_200,1.3262190735315995,2.911003670996548,8.589832736561533,10.537393308125862,39.18230425836026,148.16567958451975,-6.258,-0.6344,-0.27328,-0.35813,8.18,5.27,4.37,-0.26734,0.15367,130.4834705882353,0.0,25.267470588235295,71.10288235294118,33.827735294117645,24.820147058823526,1.40535294117647,0.0,0.0,0.0,98.2534411764706,32.230029411764704,0.9717352941176469,44.990911764705885,63.107705882352946,27.664676470588233,18.440676470588237,1.2478823529411764,0.0,0.0
react_201,1.2921545768403324,7.45466215780552,6.4039389362585535,59.13907813653756,29.47279577670136,148.92914255678258,-6.2641,-0.6259,-0.27378,-0.3592,8.11,5.27,4.37,-0.26828,0.15155,130.51516164383568,0.42803013698630143,29.22178356164383,49.22808219178082,24.620306849315064,26.740358904109577,19.097010958904125,9.104967123287668,4.141821917808223,0.3308986301369864,98.30678904109585,32.47019452054798,3.5955315068493143,37.73445479452055,43.899232876712325,22.826684931506854,27.400364383561655,14.194920547945195,9.395736986301372,3.6045123287671257
react_212,1.732812532771013,5.311770314952694,3.581287953728335,3.1644037822895776,40.612374430100495,144.80378894472156,-6.8525,0.5235,-0.1919,-0.41982,5.67,4.87,4.41,-0.2605,0.06157,138.27740277777775,28.80715277777778,56.34313888888887,47.79887499999999,6.3398333333333285,0.11184722222222224,0.0,0.0,0.0,0.0,89.5030972222222,40.97012500000001,40.44943055555555,59.87744444444448,41.06412500000002,5.702083333333332,0.11194444444444443,0.0,0.0,0.0
react_217,3.2452575086563757,4.905670628891593,5.252107438191559,82.12307534005973,45.73784146418514,140.91356131091743,-6.8339,-0.1939,-0.69953,-0.36278,3.95,3.81,2.14,-0.26648,0.04741,166.90542424242426,162.60184848484852,78.34848484848483,17.11551515151515,0.0,0.0,0.0,0.0,0.0,0.0,69.55448484848486,162.2745151515151,96.60957575757577,68.57039393939395,26.380575757575762,1.581727272727273,0.0,0.0,0.0,0.0
react_226,3.1236062576646635,3.150210780627904,5.811882632196162,23.231735572117337,45.84702051892657,145.2005380815915,-6.8369,0.5102,-0.19614,-0.40947,5.60,4.53,2.88,-0.2601,0.06299,151.90300000000002,15.643,127.1115,16.063499999999998,7.891,0.0,0.0,0.0,0.0,0.0,87.028,52.329499999999996,38.564,113.954,22.7905,3.946,0.0,0.0,0.0,0.0
react_247,1.6859546192176402,15.78531251972969,12.438246821499042,282.8453605264816,15.234244165882478,144.37173919992208,-6.7097,0.2598,-0.18542,-0.4049,5.35,4.62,4.06,-0.26387,0.15453,124.9933021201412,38.62907773851586,28.313878091872798,88.80426678445237,64.26131625441694,35.38270141342758,29.89061307420496,15.01617137809188,15.99411307420494,67.13981802120138,88.1665459363957,27.709160777385154,68.87538515901055,80.4427102473499,51.44112367491159,47.553187279151985,29.685252650176697,23.12016077738516,14.939212014134274,76.49251943462893
react_311,1.683426667486091,5.717252143070265,3.716049804487224,35.630671680549206,42.11844453266541,145.8029031206668,-6.9088,0.4673,-0.19626,-0.409,5.18,4.63,4.34,-0.26169,0.05997,115.06091666666667,23.41841666666667,20.227999999999998,17.08804166666667,1.07075,0.0,0.0,0.0,0.0,0.0,90.3035,20.245874999999995,28.88591666666667,23.149625,12.680000000000001,1.6012083333333333,0.0,0.0,0.0,0.0
react_520,1.67964765517101,14.74526108886146,6.550212473853542,161.5237090582309,16.6667546591967,148.73385451917278,-6.8759,0.5751,-0.1925,-0.42564,5.42,4.70,4.66,-0.26087,0.06019,115.32080815569961,20.553580166821163,38.774870250231686,55.61037164040788,54.41329564411491,43.38512974976831,28.158103799814658,20.799914735866558,19.32612789620019,48.65462465245598,89.98046895273396,21.437826691380913,42.589768303985196,54.531285449490284,52.87136607970348,43.93652641334567,33.9166543095459,24.70742539388321,20.611710843373498,60.41379425393881
react_521,1.679975708517605,14.27009596688973,3.7170312435403914,73.01679914562801,22.266884037346948,143.51075021201,-6.8776,0.572,-0.19279,-0.42539,5.41,4.71,4.63,-0.26088,0.06019,115.26770396270388,22.736944832944843,29.782823620823642,47.97897824397822,42.250270396270395,38.94483838383832,25.09313053613052,21.325188811188813,19.163344211344217,28.826672882672927,89.9238135198135,21.791706293706234,35.93685081585076,41.28354001554002,44.762557886557914,39.74897513597515,32.81180341880343,23.03322222222223,20.98299844599843,41.094428127428095
react_522,1.6864065142299656,6.937970930279073,5.996888879510232,68.26545283942193,35.276668192295766,145.9554818598013,-6.8848,0.4854,-0.19635,-0.41,5.18,4.63,4.37,-0.26149,0.06028,115.59984659090907,26.044880681818178,27.33938068181818,32.549261363636326,20.108738636363633,7.563755681818179,1.2255113636363637,0.05811363636363636,0.0,0.0,90.10044886363639,23.105795454545458,34.142420454545466,33.133022727272724,26.80198295454544,15.88834090909092,5.921340909090909,1.3380227272727274,0.05811363636363636,0.0
react_584,1.6871525779832015,7.854821221894983,13.54383615159994,101.33614868978846,3.1353717069200298,148.61497881161068,-6.6864,0.4715,-0.20378,-0.40964,5.18,4.63,4.52,-0.26139,0.06149,115.16888577586207,15.693299568965514,35.443653017241374,48.86291594827589,61.9811228448276,72.72190517241373,56.33188146551724,47.93158620689661,43.90873922413795,48.882963362068956,89.9585840517242,22.618019396551745,30.20800431034484,48.45399568965518,62.095413793103425,58.45050862068967,62.58716163793101,48.316226293103455,46.59598060344828,77.64305818965514
react_1,1.446588918795984,3.0366296293221198,6.042538747868464,0.0029045594034287,12.876926344149403,155.49150298681863,-6.2066,-1.4705,-0.2428,-0.37275,5.62,4.63,3.88,-0.41276,-0.0297,121.1245,144.68,164.63549999999998,20.871499999999997,0.0,0.0,0.0,0.0,0.0,0.0,92.50450000000001,86.6245,86.6755,164.63549999999998,10.4345,10.437,0.0,0.0,0.0,0.0
react_3,0.4985158789316682,2.87204537335587,5.3542455705197884,0.000917619485918,51.19753334465994,144.72811249502817,-5.7527,-0.8968,-0.2643,-0.38206,5.54,5.25,4.54,-0.26934,0.02979,138.397,28.9175,29.511000000000003,4.887499999999999,0.0,0.0,0.0,0.0,0.0,0.0,91.723,24.535,52.5985,30.411499999999997,2.445,0.0,0.0,0.0,0.0,0.0
react_4,0.1125255067491788,5.653194294021701,6.061065741182271,0.0150705671647569,41.283628901954366,141.2051075440453,-5.7718,-1.4385,-0.22477,-0.3773,5.26,4.40,2.83,-0.25096,0.04603,156.0025,28.875999999999998,114.22975,65.44225,5.18775,0.0,0.0,0.0,0.0,0.0,95.41475,51.963,66.0185,73.92750000000001,62.847750000000005,18.261500000000005,1.30525,0.0,0.0,0.0
react_15,0.000408563029272,3.101760962589357,6.063052263350745,0.0066852553504034,48.54703117633015,148.12428981295588,-6.191,-1.0583,-0.21913,-0.37889,5.44,4.43,2.83,-0.24555,0.04258,155.6415,1.2645,86.26050000000001,7.7989999999999995,0.0,0.0,0.0,0.0,0.0,0.0,94.05099999999999,47.132999999999996,30.0955,74.481,5.205,0.0,0.0,0.0,0.0,0.0
react_16,1.850695331671212,7.058451517146346,3.85308589250812,30.83568903776706,31.52076554918048,150.3612469887194,-6.5699,-1.739,-0.30081,-0.34072,6.91,5.29,4.52,-0.23814,0.04828,133.15926315789474,23.00663157894737,41.76294736842105,50.31026315789472,55.93505263157894,14.927210526315784,1.0903684210526314,0.0,0.0,0.0,88.98021052631577,32.778473684210525,39.492315789473686,57.65415789473685,46.24621052631579,38.990631578947365,14.417631578947368,1.6321052631578947,0.0,0.0
react_17,1.6405083460268306,8.167556752087219,4.345591580761938,52.23867466987041,28.12174780964135,148.57958012395113,-5.533,-0.925,-0.2207,-0.38662,5.22,4.66,3.74,-0.24388,0.0526,110.08521739130435,33.441869565217395,61.05547826086957,72.54639130434785,64.1465652173913,56.91113043478261,11.616217391304353,0.783,0.0,0.0,86.3378695652174,29.541217391304343,42.325434782608696,70.68352173913044,62.76913043478261,79.06113043478258,33.1145652173913,6.416652173913043,0.33634782608695657,0.0
react_18,2.696376761525988,4.214304314248508,6.680093056952871,30.082413606347533,29.289868859868545,145.03454017796432,-5.9339,-0.926,-0.21664,-0.37881,5.41,4.42,2.89,-0.25208,0.03475,155.41726666666665,1.916866666666667,83.3152,32.44253333333333,16.1918,2.5091333333333328,0.0,0.0,0.0,0.0,94.41013333333333,35.42993333333334,50.681333333333335,73.87506666666668,19.321933333333334,14.537933333333335,3.536466666666667,0.0,0.0,0.0
react_19,2.452764884211769,5.198200811824341,7.934589011787979,88.43832567341725,5.558740108593944,143.22282615179003,-5.5568,-0.8871,-0.21512,-0.38745,5.42,4.41,2.66,-0.24934,0.03914,156.0493076923077,2.0265384615384616,76.74984615384616,64.28576923076923,50.005769230769225,21.526769230769233,2.3153846153846156,0.0,0.0,0.0,96.1846923076923,29.766538461538463,57.546076923076924,79.7143076923077,27.83361538461539,62.571615384615384,17.205999999999996,2.1365384615384615,0.0,0.0
react_21,1.6787882226479158,9.57250578973601,9.522904729980525,132.44301245997292,28.639267858171653,147.73962732422115,-5.977,-0.4851,-0.23551,-0.40062,5.43,4.93,4.48,-0.25409,0.03599,111.20862100456624,23.356356164383566,58.533735159817375,58.545954337899516,52.858762557077625,57.9962374429224,52.32176255707763,58.774634703196384,38.5487899543379,31.25530136986301,86.81236529680356,32.15272146118721,59.3138493150685,63.601342465753405,52.27078538812789,58.05791780821915,46.873488584474885,49.72872602739727,38.861045662100445,55.727913242009116
react_22,1.680142239489645,11.630174055337283,3.717082571872976,68.59490595429757,26.96704623766156,136.26939008624612,-6.6947,-0.3317,-0.19545,-0.41034,5.17,4.64,4.40,-0.37328,0.02703,115.3778482293423,22.226416526138284,31.136546374367594,42.122848229342324,39.54923777403036,35.16783811129847,23.4597487352445,20.05034569983136,13.064937605396288,11.579198988195612,90.01944182124794,24.225939291736932,33.76285834738616,40.6843322091062,40.38761382799323,35.18369645868468,29.42087689713322,20.761426644182134,18.133851602023604,21.1549291736931
react_23,3.078120713922952,6.349589843597735,6.5039356397925525,18.14828739268205,44.10995288565232,141.08531830819825,-5.6532,-1.0865,-0.22282,-0.37734,5.41,4.32,2.89,-0.26295,0.05389,149.99919999999997,19.160800000000002,112.0614,34.445800000000006,50.1126,8.595400000000001,0.0,0.0,0.0,0.0,94.3664,36.1866,77.6356,81.2054,37.5926,27.7418,19.1444,0.5024,0.0,0.0
react_24,1.6520930360771762,5.769468295319872,8.822950010602037,83.21458679015716,17.70940707362576,145.69040692537033,-6.1904,-1.076,-0.2069,-0.38874,5.36,4.63,3.51,-0.24967,0.03498,115.56135087719295,77.2196578947368,111.46002631578948,137.0380964912281,48.42344736842105,29.54680701754386,16.608087719298254,10.464552631578947,0.5886929824561404,0.043701754385964915,88.85149122807016,35.583359649122805,89.5709298245614,132.80339473684208,112.84500877192983,39.92527192982456,21.390745614035083,17.690956140350874,7.682666666666667,0.6105964912280702
react_26,1.6811964278077614,9.393463144645391,6.609987949157043,90.09318377323952,-9.179254069719448,142.69010569038835,-6.6858,-0.3089,-0.20287,-0.40747,5.15,4.56,3.98,-0.37322,0.02713,115.52243717277503,22.809972513089004,34.05586780104713,47.91375654450258,43.78957853403139,37.69238612565443,23.29899083769637,19.965871727748695,14.92717015706806,20.336908376963354,89.98453664921472,25.42223560209425,36.43443586387433,46.00246858638742,44.28161910994773,38.91165445026178,29.12514136125656,21.777281413612563,18.0342002617801,30.339366492146596
react_27,1.6671309741514224,8.311140485677996,5.129391996839487,64.55041923723304,20.32847917518174,142.7876751924438,-6.2213,-0.9676,-0.20119,-0.40367,5.32,4.90,4.52,-0.24671,0.03974,115.73139999999998,68.51103846153846,131.11339230769232,134.67173846153847,73.22112307692308,34.81916923076923,21.802915384615382,13.31155384615384,0.9742384615384615,0.019176923076923078,88.62640769230765,37.447900000000025,90.56212307692309,145.29188461538465,105.1705307692308,65.88611538461535,32.06063076923078,18.766038461538464,9.540392307692306,0.8237230769230769
react_29,1.681079846055437,12.398202692619847,10.72533776823771,192.10507480946973,-14.229771812083364,145.27948875019226,-6.9149,0.3324,-0.20469,-0.40664,5.15,4.58,3.84,-0.378,0.02179,115.49836607142858,33.83070535714283,49.16378571428571,66.38293303571429,64.5610089285714,69.76089732142862,62.830352678571444,36.956950892857115,21.430169642857148,34.95045982142859,89.98184374999997,29.54187946428571,59.374183035714246,55.31809374999996,60.362955357142845,64.65378571428572,63.83423214285718,50.822919642857144,33.03833482142856,48.437401785714314
react_30,2.470056437545187,8.346936206417741,9.512970323339712,75.37922751167905,4.771056525846659,139.36547405282153,-5.6923,-1.0138,-0.21624,-0.38419,5.43,4.42,2.65,-0.24481,0.04042,155.9132453416148,1.8223136645962739,76.99726397515524,101.09725155279507,170.9125248447206,96.45946273291918,66.93522360248448,32.70405900621115,30.695114906832313,2.43727950310559,96.02363354037261,29.76413354037267,69.7410341614907,103.8501428571429,73.14707453416152,158.85145652173924,92.93371739130431,58.84594409937894,28.616322981366466,24.20027950310559
react_83,0.0318650582910688,4.167036381714365,8.168010627888897,0.0192113690853948,36.793764954000885,143.9085034267813,-5.7941,-1.5157,-0.22016,-0.3753,5.44,4.42,2.88,-0.25204,0.0461,154.6035,2.511,84.4145,34.041,58.931,32.650000000000006,2.6035000000000004,0.0,0.0,0.0,95.38400000000001,30.195999999999998,59.8655,73.1035,15.7315,60.222500000000004,31.346500000000002,3.9050000000000002,0.0,0.0
react_85,2.2838758704195485,3.956045503025839,8.1648951239141,34.42582879633088,17.126171284207267,147.49408644580546,-5.8196,-0.9813,-0.21891,-0.38515,5.47,4.45,2.66,-0.2695,0.02376,154.15660000000003,2.2527999999999997,81.2424,191.6388,19.9498,23.4506,2.2104,0.0,0.0,0.0,95.73559999999999,29.392000000000003,59.59740000000001,54.285000000000004,76.6852,138.0834,18.912399999999998,2.2104,0.0,0.0
react_93,2.872151756120799,9.947489991666552,8.932412132780735,92.4947876011554,1.0736694544703629,139.63520096594996,-4.9343,-0.9791,-0.26476,-0.39013,5.51,5.19,4.53,-0.23332,0.05903,138.908931451613,6.553096774193547,74.57275806451617,93.29183467741939,205.43262903225795,75.30672983870969,116.34168548387103,21.74183467741935,36.2235806451613,13.11987903225806,91.82416935483873,24.62168951612902,72.0982379032258,95.51977419354836,119.61205241935487,161.19589516129034,89.82149596774194,66.66608870967742,30.92739516129033,29.206161290322576
react_94,2.315665129675579,6.591436902710281,7.708790919171209,114.32540642375405,20.14203337349962,136.00554833342363,-5.4141,-1.3409,-0.26591,-0.37811,4.14,2.30,14.45,-0.27207,0.04389,138.67421951219515,2.5385853658536592,58.51917073170732,50.9479024390244,68.96226829268295,43.91256097560975,58.704073170731725,4.641878048780488,0.0,0.0,91.70058536585367,23.064585365853652,55.35119512195123,39.6929756097561,59.18880487804879,67.05275609756097,55.73760975609756,33.149219512195124,1.4753902439024387,0.48753658536585376
react_95,2.8711007884637127,9.010382151093069,9.93774350204324,253.7002319516673,14.786216649481425,140.19434101926834,-5.4182,-1.3203,-0.26585,-0.37862,5.52,5.22,4.53,-0.23729,0.04871,138.69803278688522,4.370045081967213,72.4277295081967,72.15193032786885,154.30419672131146,79.13582377049183,126.63867213114749,27.082438524590167,17.262163934426226,7.615946721311478,91.71384426229503,24.401811475409843,68.05681557377048,69.85172131147537,92.71856967213111,134.6799549180328,91.79019672131145,81.42104508196728,21.652385245901648,23.400635245901643
react_96,2.875258785551105,8.294511786871082,7.620773103837969,5.91415526651489,10.404740843334638,139.05567733429723,-5.1567,-1.1718,-0.26831,-0.38189,4.10,2.38,14.83,-0.26886,0.04677,138.8731029411765,5.666294117647058,57.61714705882352,60.65082352941177,93.9135735294118,43.39841176470588,60.80879411764704,1.889338235294117,35.54077941176471,10.289823529411763,91.8033382352941,22.384014705882358,57.66376470588235,47.23227941176471,71.87119117647059,83.50770588235291,53.99597058823531,33.616029411764714,21.45298529411764,25.1208088235294
react_191,0.0002484758078586,3.103369063177164,7.343116306477943,0.0054950718490643,37.7016412611838,146.90168180178063,-6.2026,-1.2774,-0.22115,-0.37577,5.46,4.44,2.73,-0.27046,0.01583,154.9905,1.1575,83.805,4.5425,104.85849999999999,0.0,0.0,0.0,0.0,0.0,94.99000000000001,45.5685,30.083,71.582,2.2720000000000002,104.85849999999999,0.0,0.0,0.0,0.0
react_193,1.67510466958563,5.95548495759013,5.210735440609431,44.944025338263735,36.11910536476443,143.7825432628161,-6.5898,-0.234,-0.19636,-0.40811,5.24,4.63,4.12,-0.24086,0.04524,120.93411111111111,58.97922222222222,19.78211111111111,74.13833333333334,4.069,0.0,0.0,0.0,0.0,0.0,89.51555555555557,42.343444444444444,37.50022222222222,63.76477777777778,37.79866666666666,6.688555555555556,0.29155555555555557,0.0,0.0,0.0
react_194,1.6802651741101169,4.04715222402544,8.347422954119985,56.41573434357415,36.97271076250952,147.1314130811325,-5.9497,-0.7166,-0.21737,-0.39451,5.37,4.58,4.34,-0.24938,0.03562,91.74484000000001,177.35343999999998,38.41304,55.18868000000001,49.1902,11.121519999999999,1.0979200000000002,0.0,0.0,0.0,87.75748,78.75011999999998,117.72611999999998,48.9108,45.79228000000001,35.20116,9.273000000000001,0.69868,0.0,0.0
react_195,1.6925235354208696,5.055529679860364,7.6641868367710675,56.79639621587573,30.061440132984107,145.70348334419103,-5.9702,-0.26,-0.23781,-0.39664,6.54,5.25,4.69,-0.24067,0.04776,109.92192857142855,36.11242857142857,51.95657142857143,55.066071428571426,25.630214285714285,12.326999999999998,0.9104285714285715,0.0,0.0,0.0,86.52364285714285,40.69792857142858,39.467642857142856,60.528357142857146,29.523214285714285,25.123357142857138,9.336285714285717,0.7242142857142857,0.0,0.0
react_196,1.6414959246233964,7.190834752424332,3.789694397774764,44.42116231292988,30.21295078825143,150.10853386532585,-6.5778,-0.5136,-0.2207,-0.3905,5.21,4.66,3.63,-0.25489,0.03075,109.3032,68.26171428571428,91.02548571428571,74.12905714285714,36.487114285714284,9.855285714285714,0.7979142857142857,0.0,0.0,0.0,86.08228571428569,60.7836,89.4149714285714,80.54579999999999,33.449400000000004,34.36691428571428,4.821514285714286,0.3952857142857143,0.0,0.0
react_197,1.642397684411173,8.451721545932791,3.031546736391303,41.7614853167032,25.2876113958053,154.19804696031017,-5.9757,-0.5165,-0.24096,-0.38245,6.51,5.21,4.64,-0.26646,0.02176,109.70504166666667,30.993666666666673,52.70558333333332,54.020416666666655,31.194374999999994,59.24870833333333,39.28129166666667,13.115,0.0,0.0,86.604,34.54733333333333,46.28470833333335,52.52770833333332,49.626666666666665,48.83070833333334,36.82424999999999,21.91591666666667,13.102791666666667,0.0
react_198,2.2237494477187685,3.100207228314921,8.16722538153388,26.983413133948154,23.546766218278613,141.3185108042792,-5.6334,-0.7477,-0.21674,-0.39306,5.42,4.42,2.74,-0.2537,0.0329,154.656,2.425,83.8805,4.8725000000000005,18.66,25.115500000000004,2.237,0.0,0.0,0.0,96.87899999999999,28.8395,60.793499999999995,56.8835,2.4385000000000003,31.218000000000004,12.557500000000001,2.237,0.0,0.0
react_199,0.0001262186849826,2.6907161892999505,8.677355424526969,0.0007741678254799,37.12220064903382,147.90532929438277,-5.9858,-1.4819,-0.28096,-0.34885,7.69,5.26,4.38,-0.24892,0.03474,129.739,0.0,27.115,62.588,57.431,33.917,2.612,0.0,0.0,0.0,97.494,32.245,0.0,29.682,60.021,28.715,62.632999999999996,2.612,0.0,0.0
react_202,0.9600654776443288,6.56053014319578,5.576379599529231,34.14800512527844,27.14932067014849,151.9375428682281,-6.9435,-1.3168,-0.32964,-0.31195,5.05,4.77,3.98,-0.24887,0.03715,126.4013076923077,0.6830769230769231,57.63538461538463,37.936653846153845,45.899153846153844,53.25603846153845,11.898538461538463,0.6764615384615384,0.0,0.0,86.10765384615385,30.375500000000006,19.982730769230766,57.353,45.59103846153846,58.15273076923077,25.283461538461534,10.863153846153846,0.6773461538461538,0.0
react_203,1.642359680342537,9.134961305337852,3.0280153515586954,44.25074840427286,13.436430541212628,150.64722131426825,-5.4287,-0.1841,-0.21753,-0.39043,5.19,4.66,3.82,-0.25023,0.03985,110.38963157894736,37.851052631578945,59.05189473684211,54.26499999999999,18.546894736842106,29.332105263157885,14.95336842105263,7.770578947368421,0.587421052631579,0.0,86.3185263157895,52.80142105263158,44.65136842105264,54.04878947368422,28.319736842105264,33.648842105263164,17.115736842105264,8.920473684210526,6.3356315789473685,0.587421052631579
react_204,1.692563373801379,5.060407455377217,8.726415433885553,64.5812104106871,32.87717834569476,143.9747182259502,-5.8415,-0.1611,-0.23349,-0.39861,5.53,4.89,4.33,-0.23567,0.05347,109.80033333333333,40.48572222222222,48.28666666666667,55.58255555555555,27.59816666666667,24.776111111111113,10.737499999999999,1.6071111111111112,0.0,0.0,86.46622222222224,45.64744444444446,51.070444444444455,56.89066666666666,33.04611111111111,26.432777777777783,11.879111111111113,6.63788888888889,0.8035000000000001,0.0
