,Q1_B1,Q1_B5,Q1_L,Q1_VOL,Q1_NWESPMIN,Q1_99ESPMAX,Q1_NATURAL CHARGE,Q2_B1,Q2_B5,Q2_L,Q2_VOL,Q2_NWESPMIN,Q2_99ESPMAX,Q2_NATURAL CHARGE,Q3_B1,Q3_B5,Q3_L,Q3_VOL,Q3_NWESPMIN,Q3_99ESPMAX,Q3_NATURAL CHARGE,Q4_B1,Q4_B5,Q4_L,Q4_VOL,Q4_NWESPMIN,Q4_99ESPMAX,Q4_NATURAL CHARGE,HOMO,LUMO,C0_nat_charge,C1_nat_charge,pert1,pert2,pert3,pi_orb_energy,pi*_orb_energy,AlkC1_RDF_1,AlkC1_RDF_2,AlkC1_RDF_3,AlkC1_RDF_4,AlkC1_RDF_5,AlkC1_RDF_6,AlkC1_RDF_7,AlkC1_RDF_8,AlkC1_RDF_9,AlkC1_RDF_10,AlkC2_RDF_1,AlkC2_RDF_2,AlkC2_RDF_3,AlkC2_RDF_4,AlkC2_RDF_5,AlkC2_RDF_6,AlkC2_RDF_7,AlkC2_RDF_8,AlkC2_RDF_9,AlkC2_RDF_10,Alkene Type
Trans_521,2.251983642578125,6.697460651397705,6.149860858917236,96.40364074707031,161.77610778808594,492.75445556640625,-0.46851998567581177,1.100000023841858,1.100000023841858,2.594336986541748,5.575279712677002,342.2778625488281,537.5413818359375,0.22869999706745148,2.1405696868896484,4.078279972076416,5.9605631828308105,51.78534698486328,185.41424560546875,518.4901123046875,0.8230999708175659,1.100000023841858,1.100000023841858,2.5955986976623535,5.575279712677002,342.2778625488281,537.5413818359375,0.2293200045824051,-6.798299789428711,-1.2238999605178833,-0.11826000362634659,-0.33382999897003174,5.59,4.94,2.27,-0.27744999527931213,0.04493999853730202,138.1306915283203,80.94816589355469,68.59183502197266,68.98466491699219,4.589645862579346,0.0,0.0,0.0,0.0,0.0,148.07151794433594,62.211082458496094,44.02149963378906,62.96529006958008,39.307708740234375,4.560937404632568,0.10695832967758179,0.0,0.0,0.0,Trans
Mono_522,2.3166582584381104,9.61757755279541,7.693375110626221,284.54193115234375,93.51515197753906,448.8223571777344,-0.4649600088596344,1.100000023841858,1.100000023841858,2.5952892303466797,5.575279712677002,342.2778625488281,537.5413818359375,0.19958999752998352,1.100000023841858,1.100000023841858,2.5940754413604736,5.575279712677002,342.2778625488281,537.5413818359375,0.2047400027513504,1.100000023841858,1.100000023841858,2.5980894565582275,5.575279712677002,342.2778625488281,537.5413818359375,0.2062399983406067,-5.625,-0.22210000455379486,-0.1906999945640564,-0.404449999332428,3.95,2.36,1.93,-0.25982001423835754,0.0654899999499321,121.29594421386719,69.78181457519531,74.03369140625,123.49568939208984,111.51216125488281,132.95205688476562,48.37273406982422,6.989743232727051,0.20516814291477203,0.0,89.3680191040039,43.40175247192383,75.54290771484375,108.4942855834961,120.61492919921875,109.21955871582031,97.4260025024414,37.27423095703125,7.297318458557129,0.0,Mono
Trans_522,2.255542278289795,12.71898365020752,9.143918991088867,169.86444091796875,15.925881385803223,487.55938720703125,-0.4619700014591217,1.100000023841858,1.100000023841858,2.5940024852752686,5.575279712677002,342.2778625488281,537.5413818359375,0.22606000304222107,2.0585994720458984,4.667140007019043,7.1498637199401855,65.75543212890625,168.72201538085938,509.15203857421875,0.8220800161361694,1.100000023841858,1.100000023841858,2.598264694213867,5.575279712677002,342.2778625488281,537.5413818359375,0.22845999896526337,-5.82480001449585,-1.1470999717712402,-0.1220100000500679,-0.33643001317977905,5.51,3.74,2.31,-0.2755900025367737,0.045779999345541,132.5007781982422,60.172142028808594,54.22095489501953,69.03012084960938,56.21149826049805,48.88787841796875,39.29037857055664,27.532712936401367,36.218528747558594,0.0,147.62867736816406,29.377212524414062,79.0848159790039,50.58413314819336,36.901123046875,44.16025161743164,43.81540298461914,35.9560546875,56.55732345581055,0.0,Trans
Trans_523,2.236253261566162,5.785629749298096,13.75438117980957,155.89434814453125,31.47932243347168,488.8864440917969,-0.49031001329421997,1.100000023841858,1.100000023841858,2.594038486480713,5.575279712677002,342.2778625488281,537.5413818359375,0.2262199968099594,2.1128499507904053,4.170994758605957,5.928761005401611,51.78534698486328,182.0155792236328,518.8785400390625,0.8226100206375122,1.100000023841858,1.100000023841858,2.5981838703155518,5.575279712677002,342.2778625488281,537.5413818359375,0.22745999693870544,-5.905600070953369,-1.2074999809265137,-0.11976999789476395,-0.3352000117301941,4.69,3.8,3.0,-0.2773599922657013,0.044440001249313354,129.77723693847656,60.05549621582031,60.65065002441406,67.30992889404297,52.402252197265625,42.085350036621094,23.17278480529785,20.099306106567383,14.753998756408691,0.0,147.16000366210938,32.773868560791016,65.43451690673828,44.59069061279297,51.290767669677734,43.09428024291992,38.26276779174805,19.90789031982422,27.79221534729004,0.0,Trans
Mono_523,2.249037265777588,6.7624993324279785,5.6194257736206055,133.56524658203125,157.2233123779297,490.9889831542969,-0.4786800146102905,1.100000023841858,1.100000023841858,2.595815896987915,5.575279712677002,342.2778625488281,537.5413818359375,0.19513000547885895,1.100000023841858,1.100000023841858,2.5938429832458496,5.575279712677002,342.2778625488281,537.5413818359375,0.20893000066280365,1.100000023841858,1.100000023841858,2.59618878364563,5.575279712677002,342.2778625488281,537.5413818359375,0.21754999458789825,-6.975599765777588,-0.9524999856948853,-0.19346000254154205,-0.40612998604774475,3.38,2.57,1.83,-0.27307000756263733,0.060180000960826874,120.51020050048828,62.042301177978516,57.26179885864258,77.04879760742188,7.064899921417236,0.0,0.0,0.0,0.0,0.0,89.67939758300781,36.618499755859375,56.77090072631836,65.89700317382812,67.43800354003906,6.588200092315674,0.9359999895095825,0.0,0.0,0.0,Mono
Mono_524,2.2898497581481934,9.213136672973633,9.722648620605469,188.7740478515625,43.18482208251953,474.76507568359375,-0.4795199930667877,1.100000023841858,1.100000023841858,2.5944106578826904,5.575279712677002,342.2778625488281,537.5413818359375,0.20815999805927277,1.100000023841858,1.100000023841858,2.5937817096710205,5.575279712677002,342.2778625488281,537.5413818359375,0.20779000222682953,1.100000023841858,1.100000023841858,2.5986270904541016,5.575279712677002,342.2778625488281,537.5413818359375,0.20938999950885773,-6.261600017547607,-0.13580000400543213,-0.19729000329971313,-0.42006999254226685,4.47,4.43,1.86,-0.26357001066207886,0.05651000142097473,121.81362915039062,93.55228424072266,32.59621810913086,79.29678344726562,1.3332390785217285,46.31121826171875,32.65663146972656,39.477413177490234,14.781586647033691,0.0,88.85900115966797,60.69569396972656,81.44084930419922,70.64480590820312,31.963043212890625,33.4671745300293,34.93256378173828,36.24113082885742,23.574739456176758,0.0,Mono
Trans_524,2.2389471530914307,7.409209728240967,11.523359298706055,155.89434814453125,44.2686653137207,477.7618408203125,-0.4658699929714203,1.100000023841858,1.100000023841858,2.5992162227630615,5.575279712677002,342.2778625488281,537.5413818359375,0.1993499994277954,2.2582643032073975,8.27577018737793,5.7946882247924805,89.39579772949219,151.83203125,490.0633239746094,-0.4524900019168854,1.100000023841858,1.100000023841858,2.5974793434143066,5.575279712677002,342.2778625488281,537.5413818359375,0.2130499929189682,-5.916200160980225,-0.2214999943971634,-0.20761999487876892,-0.2119700014591217,4.35,3.66,2.6,-0.25137001276016235,0.07472000271081924,133.57818603515625,53.00039291381836,74.71380615234375,80.12022399902344,73.5641860961914,58.34209442138672,34.93877029418945,23.41048812866211,15.93585205078125,0.0,136.41217041015625,52.581207275390625,72.3552474975586,78.0019760131836,65.05213165283203,51.08958435058594,37.078983306884766,23.30620002746582,31.726486206054688,0.0,Trans
Trans_525,2.2313499450683594,9.979042053222656,10.026200294494629,171.00299072265625,-44.264976501464844,513.7311401367188,-0.46143001317977905,1.100000023841858,1.100000023841858,2.5992164611816406,5.575279712677002,342.2778625488281,537.5413818359375,0.20653000473976135,2.2863800525665283,3.850400924682617,5.382669448852539,33.51544952392578,237.7041015625,509.2021789550781,-0.4515799880027771,1.100000023841858,1.100000023841858,2.5973193645477295,5.575279712677002,342.2778625488281,537.5413818359375,0.2079000025987625,-6.09119987487793,-1.7092000246047974,-0.23732000589370728,-0.1869799941778183,4.8,4.59,3.62,-0.2685700058937073,0.05683000013232231,132.6097869873047,51.71873474121094,63.59160232543945,44.97700500488281,49.52669143676758,49.26674270629883,43.65486526489258,31.556564331054688,17.59100914001465,0.0,135.26742553710938,38.97757339477539,35.96778106689453,50.30621337890625,49.53910446166992,56.09543228149414,41.92925262451172,33.104652404785156,43.30556106567383,0.0,Trans
Mono_525,2.2280256748199463,8.270681381225586,6.372124671936035,200.21644592285156,9.273849487304688,470.5823974609375,-0.7970499992370605,1.100000023841858,1.100000023841858,2.595383882522583,5.575279712677002,342.2778625488281,537.5413818359375,0.20092999935150146,1.100000023841858,1.100000023841858,2.593829393386841,5.575279712677002,342.2778625488281,537.5413818359375,0.20892000198364258,1.100000023841858,1.100000023841858,2.5971336364746094,5.575279712677002,342.2778625488281,537.5413818359375,0.21899999678134918,-6.72730016708374,-1.0227999687194824,-0.2232300043106079,-0.3978100121021271,4.03,3.76,2.13,-0.2820200026035309,0.047860000282526016,199.2149658203125,131.49403381347656,70.68360900878906,135.47071838378906,57.38628387451172,39.44639205932617,2.3989999294281006,0.0,0.0,0.0,89.44910430908203,99.01803588867188,169.2090301513672,94.9351806640625,88.35900115966797,55.373680114746094,37.08271408081055,2.66825008392334,0.0,0.0,Mono
Mono_526,2.23055100440979,4.503238201141357,11.662361145019531,142.61370849609375,72.88741302490234,494.39129638671875,-0.4824199974536896,1.100000023841858,1.100000023841858,2.595551013946533,5.575279712677002,342.2778625488281,537.5413818359375,0.20069000124931335,1.100000023841858,1.100000023841858,2.5939409732818604,5.575279712677002,342.2778625488281,537.5413818359375,0.20685000717639923,1.100000023841858,1.100000023841858,2.5990378856658936,5.575279712677002,342.2778625488281,537.5413818359375,0.20600000023841858,-7.112100124359131,-1.3452999591827393,-0.21251000463962555,-0.3931500017642975,3.64,2.77,1.99,-0.27087000012397766,0.052949998527765274,112.11737060546875,34.736915588378906,52.28322982788086,70.61551666259766,47.18882751464844,31.06828498840332,8.209457397460938,4.711771488189697,0.27962857484817505,0.0,90.00914001464844,28.72785758972168,47.868370056152344,50.52931594848633,61.14791488647461,41.82285690307617,25.19994354248047,10.774685859680176,5.130914211273193,0.0,Mono
Trans_526,2.0284481048583984,6.04612398147583,7.432039260864258,109.34782409667969,105.80789184570312,457.7660827636719,0.10198000073432922,1.100000023841858,1.100000023841858,2.585998773574829,5.575279712677002,342.2778625488281,537.5413818359375,0.262580007314682,2.0475752353668213,4.68712043762207,7.131556034088135,65.75543212890625,176.529541015625,511.22705078125,0.814740002155304,1.100000023841858,1.100000023841858,2.592233180999756,5.575279712677002,342.2778625488281,537.5413818359375,0.25780999660491943,-6.001699924468994,-2.0308001041412354,-0.20592999458312988,-0.28696998953819275,9.4,3.8,3.07,-0.26124998927116394,0.051979999989271164,168.16030883789062,69.1898422241211,136.59304809570312,26.6705265045166,6.936789512634277,0.4784736931324005,0.0,0.0,0.0,0.0,155.98179626464844,57.2461051940918,107.54479217529297,72.18973541259766,15.06657886505127,0.0,0.0,0.0,0.0,0.0,Trans
Mono_527,1.8336585760116577,8.219918251037598,11.329249382019043,214.57838439941406,60.19023895263672,461.9892883300781,-0.0646200031042099,1.100000023841858,1.100000023841858,2.593712329864502,5.575279712677002,342.2778625488281,537.5413818359375,0.20151999592781067,1.100000023841858,1.100000023841858,2.592930793762207,5.575279712677002,342.2778625488281,537.5413818359375,0.21119999885559082,1.100000023841858,1.100000023841858,2.5965964794158936,5.575279712677002,342.2778625488281,537.5413818359375,0.21607999503612518,-6.105400085449219,-2.3369998931884766,-0.2276500016450882,-0.3580000102519989,2.4,14.18,1.5,-0.2766200006008148,0.04131000116467476,152.82200622558594,2.309000015258789,84.697998046875,47.176998138427734,59.4739990234375,85.06800079345703,2.1019999980926514,79.28900146484375,106.37999725341797,0.0,93.38500213623047,30.955333709716797,59.42566680908203,72.60533142089844,23.512666702270508,56.936668395996094,75.8106689453125,38.54233169555664,168.1453399658203,0.0,Mono
Trans_527,3.5826003551483154,5.180835247039795,14.849523544311523,235.16741943359375,54.58323287963867,477.361328125,-0.4514800012111664,1.100000023841858,1.100000023841858,2.5924463272094727,5.575279712677002,342.2778625488281,537.5413818359375,0.22987000644207,2.1452395915985107,5.114975929260254,7.042244911193848,65.75543212890625,181.3583526611328,509.9870300292969,0.8286600112915039,1.100000023841858,1.100000023841858,2.5960464477539062,5.575279712677002,342.2778625488281,537.5413818359375,0.22787000238895416,-5.938199996948242,-1.0119999647140503,-0.11987999826669693,-0.3463999927043915,5.56,5.11,5.0,-0.27298998832702637,0.04879000037908554,131.9559783935547,76.54276275634766,69.510986328125,91.07373809814453,54.85587692260742,43.73189163208008,75.89277648925781,61.83195495605469,102.31504821777344,0.0,147.47882080078125,45.381080627441406,86.35222625732422,67.25653839111328,58.048057556152344,54.566497802734375,53.39335632324219,56.648868560791016,138.58555603027344,0.0,Trans
Mono_528,2.21720552444458,11.519872665405273,17.678550720214844,334.64697265625,-40.83906173706055,473.47412109375,-0.07531999796628952,1.100000023841858,1.100000023841858,2.5956084728240967,5.575279712677002,342.2778625488281,537.5413818359375,0.19855999946594238,1.100000023841858,1.100000023841858,2.593750238418579,5.575279712677002,342.2778625488281,537.5413818359375,0.20875999331474304,1.100000023841858,1.100000023841858,2.5967819690704346,5.575279712677002,342.2778625488281,537.5413818359375,0.2161400020122528,-6.138400077819824,-1.9270999431610107,-0.22078000009059906,-0.3899399936199188,3.66,1.77,1.6,-0.2742699980735779,0.06196000054478645,108.65221405029297,55.9225959777832,101.6965103149414,117.73757934570312,33.81654357910156,35.54429244995117,29.72933006286621,42.30597686767578,325.71295166015625,0.0,86.08565521240234,43.6510009765625,73.0970687866211,105.28182983398438,92.59738159179688,44.80315017700195,36.644744873046875,30.245487213134766,338.711669921875,0.0,Mono
Trans_528,2.2081875801086426,8.191251754760742,10.007190704345703,200.21644592285156,33.034019470214844,460.7692565917969,-0.7890200018882751,1.100000023841858,1.100000023841858,2.5974669456481934,5.575279712677002,342.2778625488281,537.5413818359375,0.21689000725746155,2.20328426361084,2.7330100536346436,4.010376453399658,19.545366287231445,281.75811767578125,517.740478515625,-0.6516900062561035,1.100000023841858,1.100000023841858,2.5970003604888916,5.575279712677002,342.2778625488281,537.5413818359375,0.21126000583171844,-6.38730001449585,-1.039199948310852,-0.24560000002384186,-0.1747799962759018,4.88,4.16,3.95,-0.2576099932193756,0.06703999638557434,228.9102783203125,130.87896728515625,72.82331085205078,138.7752227783203,53.626373291015625,35.48843002319336,2.211400032043457,0.0,0.0,0.0,115.64522552490234,132.6735382080078,148.6897430419922,101.51005554199219,80.73662567138672,50.248172760009766,30.931171417236328,2.2794570922851562,0.0,0.0,Trans
Mono_529,2.2332570552825928,8.207053184509277,19.458538055419922,322.95281982421875,-58.56150436401367,486.0013122558594,-0.07128000259399414,1.100000023841858,1.100000023841858,2.5955913066864014,5.575279712677002,342.2778625488281,537.5413818359375,0.19811999797821045,1.100000023841858,1.100000023841858,2.593710422515869,5.575279712677002,342.2778625488281,537.5413818359375,0.2101300060749054,1.100000023841858,1.100000023841858,2.59684419631958,5.575279712677002,342.2778625488281,537.5413818359375,0.21554000675678253,-6.231800079345703,-1.7781000137329102,-0.2218099981546402,-0.3891200125217438,3.74,1.77,1.54,-0.27970001101493835,0.053599998354911804,109.61125946044922,40.476234436035156,88.21812438964844,55.67328643798828,35.17139434814453,41.89012908935547,25.475910186767578,43.53972625732422,326.38494873046875,0.0,86.12419891357422,24.463680267333984,46.25598907470703,77.31562042236328,61.54405212402344,48.23041915893555,30.66486167907715,29.562101364135742,362.2800598144531,0.0,Mono
Trans_529,2.3317015171051025,10.381170272827148,8.678337097167969,366.3365478515625,1.2676599025726318,433.005859375,-0.4693399965763092,1.100000023841858,1.100000023841858,2.5963122844696045,5.575279712677002,342.2778625488281,537.5413818359375,0.21483999490737915,2.623443126678467,7.363674163818359,9.681990623474121,204.8124542236328,64.6139144897461,458.455810546875,-0.07124000042676926,1.100000023841858,1.100000023841858,2.5974085330963135,5.575279712677002,342.2778625488281,537.5413818359375,0.2016499936580658,-5.054299831390381,-0.4065000116825104,-0.15834000706672668,-0.24149000644683838,4.64,4.29,3.07,-0.24487000703811646,0.07568000257015228,148.13453674316406,108.6174545288086,229.82249450683594,265.240966796875,133.74810791015625,173.5840606689453,131.93936157226562,74.31275177001953,54.54725646972656,0.0,176.25030517578125,65.01380920410156,244.448486328125,179.32981872558594,217.97792053222656,182.10546875,125.91224670410156,73.9815902709961,54.92734909057617,0.0,Trans
