,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1
react_136,1.687033095637579,3.251478679627777,6.008457468581906,29.51673854108931,42.00521935961881,143.59787412869355,0.0003026396232872,3.101764512834626,6.063065206841321,0.0055148081855588,48.785263514711374,145.1033873166047,-6.1963,-0.6786,-0.0233,-0.40443,5.62,5.17,5.08,-0.24185,0.04284,200.04981333333336,24.08777333333334,107.54948000000005,25.28306666666668,1.2647599999999999,0.0,0.0,0.0,0.0,0.0,115.22308000000004,79.17921333333335,58.30673333333332,87.55173333333336,16.88237333333333,1.0917599999999998,0.0,0.0,0.0,0.0
react_137,3.129679654196078,3.1298617813178287,3.6291399263841466,30.7871126126038,56.06983224823505,143.68411413553906,0.0003456684487509,3.101776393204948,6.06312235179152,0.0063266067145856,48.89422683169737,146.44364343856782,-6.6986,-0.184,-0.0301,-0.39453,5.93,4.91,3.52,-0.24184,0.04358,241.6816666666667,22.634666666666664,86.33633333333334,7.872,0.0,0.0,0.0,0.0,0.0,0.0,111.19466666666666,124.69766666666669,25.900333333333336,94.09633333333333,2.635666666666667,0.0,0.0,0.0,0.0,0.0
react_138,1.673902364310304,3.198135600842437,4.7741209055089895,15.68617431153157,50.95316170463779,144.1541157157746,2.698919706895535,3.1017257947292607,6.0630534955723725,0.0022659402131906,48.80076237108621,142.6265292547819,-6.1618,-0.7468,-0.03491,-0.39274,5.46,5.38,3.90,-0.24248,0.04437,222.795625,30.5284375,90.3813125,7.830187500000001,0.0,0.0,0.0,0.0,0.0,0.0,112.61399999999999,95.5023125,59.5511875,79.61274999999999,4.2553125000000005,0.0,0.0,0.0,0.0,0.0
react_139,1.6798800964600615,6.239633906809412,3.717046965228668,33.800866617469715,39.77716466069198,149.1253609399311,0.0002713377789588,3.101793825389348,6.063132227230383,0.0015809030154557,48.77798245959163,141.7854869103609,-6.1933,-0.7252,-0.02857,-0.39033,5.40,5.31,3.99,-0.24262,0.04395,200.30980188679237,22.87766509433963,111.44227830188676,36.008179245283024,12.034216981132072,2.2762688679245295,0.09634433962264152,0.0,0.0,0.0,115.15630188679238,75.98511792452827,63.03908490566036,94.16187264150939,29.026891509433977,6.822391509433958,0.8410471698113209,0.012047169811320754,0.0,0.0
react_140,1.6915575051267158,4.189707737287775,4.123574015288752,11.87408366953088,49.00110706825006,144.63672716154065,1.8118040010264376,3.1017266238239456,6.063016776859391,0.0012485773749152,48.62044934494652,148.48116862969016,-6.641,-0.2371,-0.02886,-0.38499,5.42,5.38,4.26,-0.24257,0.04302,224.2419,17.940850000000005,124.89004999999997,11.5186,0.0,0.0,0.0,0.0,0.0,0.0,113.45575000000001,92.93159999999999,59.51735,104.03204999999998,8.65465,0.0,0.0,0.0,0.0,0.0
react_141,1.6799234124311482,7.574568378655028,3.7169796752276185,41.00616934369922,33.64018342429805,140.97322145992786,0.0001658731006187,3.101736146450394,6.063024123022709,0.0031184552158226,48.8149674911888,144.72556122978006,-6.1749,-0.7626,-0.02645,-0.40257,5.56,5.21,4.93,-0.24201,0.04281,200.2879063926941,23.62688812785389,111.62728310502287,40.23109132420092,23.07822602739728,11.30698173515984,1.646052511415525,0.05836073059360731,0.0,0.0,115.13086757990874,72.66319406392692,68.28194977168953,96.91918036529682,33.49899315068494,15.915251141552503,8.17657534246576,1.2125684931506857,0.06421004566210047,0.0
react_142,0.0002441792308595,3.1017667734213674,6.063036376823126,0.0035250642999871,48.83911204752562,143.50219832471365,1.7026464307542863,4.951595651679005,3.659241253161388,0.0007175663593043,46.016449958084976,144.17305382604712,-6.2171,-0.6048,-0.02151,-0.40211,8.77,5.69,5.19,-0.24168,0.04279,222.17468571428572,30.727571428571434,137.45134285714283,13.961914285714286,1.0623714285714283,0.0,0.0,0.0,0.0,0.0,113.83685714285714,100.10154285714287,52.93368571428571,121.66977142857142,16.38034285714286,0.4556857142857143,0.0,0.0,0.0,0.0
react_143,1.6647846741069667,1.664894872023691,2.354395676095828,5.651378705073798,67.22088648104854,148.98885428707135,1.6762492163934708,9.79988614150924,5.126407674036558,3.7844706163537953,24.052838862569743,141.39887933052515,-5.7407,0.0919,-0.0251,-0.40603,5.63,5.50,4.30,-0.24933,0.04019,139.33540579710143,42.007521739130404,55.67863768115943,51.98452173913044,41.86010144927536,36.915471014492745,13.342608695652173,4.775855072463769,0.681355072463768,0.0161231884057971,111.71174637681155,57.26467391304347,53.77748550724638,52.0516231884058,45.143144927536234,33.09857246376814,23.193188405797095,6.419710144927537,3.0187028985507243,0.9187536231884058
react_144,1.674580096519645,7.674217353490499,4.697006500813731,26.911447683734508,19.269341647745424,143.24562796336508,1.664764916884251,1.664908040341294,2.354446553216936,5.651416629019839,67.33075623546249,152.11064675183317,-5.4698,0.1567,-0.02739,-0.41798,6.06,5.63,5.02,-0.25041,0.04095,139.28410365853657,33.913280487804876,58.62505487804879,64.45267073170731,52.74412804878048,32.201512195121964,4.74998780487805,0.3282073170731707,0.0,0.0,111.26635365853659,49.927067073170754,47.3877256097561,55.78832317073173,53.66576829268291,43.27389024390243,22.06209756097561,2.701762195121951,0.22595731707317074,0.0
react_145,1.6755871934562412,3.9165812467963854,10.15557393676603,63.05263192906424,18.59162131832297,152.92542067136856,1.6647497481571614,1.6648506950878377,2.354478323037918,5.651222662045743,66.98211818682982,148.91708100902608,-6.5087,-0.1413,-0.02347,-0.40898,5.63,5.49,4.51,-0.24124,0.04449,139.46292417061602,30.28734123222746,48.159033175355454,62.24752132701422,43.29900473933651,33.54730331753555,12.882393364928914,2.8029431279620853,0.12143601895734597,0.0,111.18372985781994,46.88562085308057,58.08504265402844,46.50225592417066,50.000644549763024,34.05505213270142,18.598952606635077,5.51441232227488,1.850611374407583,0.1335781990521327
react_146,1.6790248561879233,7.057858220149208,5.820765506692998,27.00774674254505,9.720432103744312,147.45240030151936,1.6648116780480615,1.6648710356303735,2.3544229482358854,5.651423664489301,66.90195265989708,148.84825131514893,-5.3422,-0.153,-0.02084,-0.40607,5.64,5.56,4.91,-0.24307,0.04349,139.22392079207918,35.03971287128712,57.31871287128714,43.68019801980196,34.4151188118812,41.32406930693069,17.466079207920792,11.35345544554456,6.0035544554455464,0.642029702970297,111.54767326732667,48.53754455445544,46.3549306930693,56.67912871287129,36.339584158415846,39.54128712871288,24.816158415841578,11.724504950495048,7.867772277227723,3.058267326732674
react_147,1.656934660069051,5.277707278453823,4.580947704169976,27.42664245064312,35.811149821773135,143.2538504709412,1.6822748650137322,3.0919630620001093,3.695158120552064,10.824452526231273,55.62156891377555,148.86020336250309,-6.5672,-0.1528,-0.04865,-0.40414,5.87,5.80,4.72,-0.23761,0.04774,156.99602262443446,25.25415837104075,54.951095022624436,49.35749321266963,48.066443438914014,27.14954298642533,10.115076923076924,0.7998325791855206,0.0,0.0,108.06100452488684,55.92710859728505,42.41811312217189,45.34262895927601,46.06091855203616,44.88657466063347,25.017307692307693,4.652180995475114,0.32382805429864253,0.0
react_148,3.1120865321809,7.282847894011201,6.0596688996565895,82.62846796760421,40.117906130166745,143.8604466181131,3.1164648419676144,8.543421480470515,4.607868406145483,75.61204638043097,24.35201975240316,145.60380277477998,-6.0339,-0.7669,-0.03166,-0.39316,5.69,5.32,3.58,-0.24086,0.04692,234.85949999999997,46.246750000000006,89.87174999999999,7.937999999999999,0.0,0.0,0.0,0.0,0.0,0.0,113.39075,82.767,110.62775,66.832,5.2985,0.0,0.0,0.0,0.0,0.0
react_149,1.2389579818217524,3.9349326094407657,9.20487132247852,26.35973712279089,39.95583273350964,144.46091676684483,1.664769478281745,1.664857205799678,2.3545371282899006,5.651485914433507,66.98754306894027,150.17977532909617,-5.9651,-0.8003,-0.03201,-0.39168,5.46,5.27,4.14,-0.23628,0.04968,182.11111111111111,2.0135555555555555,85.68822222222222,5.200222222222222,29.890666666666668,50.49877777777778,24.322666666666667,5.643777777777778,0.0,0.0,115.74522222222221,47.083666666666666,43.82844444444444,66.32277777777777,3.1480000000000006,47.09499999999999,35.81699999999999,21.255444444444446,5.073444444444444,0.0
react_150,0.0002995845566261,3.101773370650769,6.063097833780645,0.0023968390345831,49.108506945394026,145.62299477538366,1.9103778538605147,3.084949013167004,5.99046870455876,0.0014839176381003,40.0465906202791,143.87099900559662,-6.3203,-1.2979,-0.08484,-0.32902,5.58,5.46,3.67,-0.24588,0.0398,235.64069999999998,1.7791000000000001,172.6878,12.840799999999998,0.0,0.0,0.0,0.0,0.0,0.0,117.3566,94.9242,72.7149,128.464,9.4887,0.0,0.0,0.0,0.0,0.0
react_151,0.18019631762679,4.092997423920261,5.991571419654145,0.0043064459889645,53.29072496352822,146.77839639692706,0.0002424275587509,3.101760404781284,6.063186837355282,0.004118511573241,48.7095096303495,144.8283117637663,-6.3482,-1.6106,-0.08573,-0.3238,6.13,5.48,5.45,-0.24923,0.03561,235.11225,1.889125,167.896375,201.31474999999998,0.0,0.0,0.0,0.0,0.0,0.0,117.234375,95.932625,75.783625,143.59537500000002,79.11474999999999,94.55175,0.0,0.0,0.0,0.0
react_152,0.3394064409750684,3.085794566847011,7.540780984663719,0.0087302355885441,54.59785837467584,146.70306721097378,0.0004113361784438,3.101779975702128,6.063051054185396,0.0012346917693558,48.76903681010346,145.07744488288827,-6.2238,-1.5095,-0.0604,-0.36499,9.10,7.71,5.35,-0.24158,0.04318,235.18575000000004,1.5516249999999998,170.044125,9.911124999999998,189.40925000000001,0.0,0.0,0.0,0.0,0.0,117.409625,91.94787500000001,76.942375,123.03187500000001,7.360875,189.40925000000001,0.0,0.0,0.0,0.0
react_153,1.6412430875841433,9.420752212223974,7.016118366871866,108.05089448296702,11.06228931611756,149.30248257841336,1.6648127724700958,1.6648608142897072,2.354434258113588,5.651478531130727,66.99386014401375,150.51993371677233,-5.349,-0.0313,-0.06032,-0.40946,6.90,5.97,5.93,-0.23486,0.05877,136.96597499999996,37.905433333333335,64.14759166666663,91.06715416666671,48.74227499999998,36.82615833333334,13.946929166666658,9.625054166666668,0.7884333333333333,0.0,107.90774999999994,48.08148750000001,51.28470833333333,85.48202083333325,53.84367083333333,54.51932916666666,18.617675,11.038012499999999,8.451916666666667,0.7884333333333333
