,b1,b5,l,vol,espmin,espmax
react_61_c2_frag_0,1.698113557260335,3.1110311534518282,3.6622868105681943,19.283774967453827,55.87802789219335,144.80416984296926
react_62_c1_frag_0,1.6822269369834233,3.0920751755355,3.6950829203031765,10.825582981193817,59.1497661291087,147.2965312792351
react_62_c2_frag_0,1.6745489664968791,5.495963683273657,3.7019164590625198,16.593724619660108,42.98956095864862,138.54827154613923
react_71_c1_frag_0,1.6864491755810413,5.663116785212551,5.768782044397747,51.999990784705616,37.47979639533645,144.42556859369753
react_71_c2_frag_0,1.683828236236187,5.019924650818236,5.168552759773247,25.47805965697048,43.57108446297906,143.31227586956948
react_72_c1_frag_0,1.6833457872854536,8.263642100350827,3.716196306541261,51.55235226427388,39.49519466131766,144.6985552302646
react_72_c2_frag_0,3.3669867010243646,3.367142239308297,4.11416118856819,14.32350127682915,49.59135502498084,149.09501627628583
react_74_c1_frag_0,1.6834986015752726,5.717075014194371,3.7161542877615146,35.6315538588973,47.719113317955205,147.2624078790694
react_74_c2_frag_0,3.3445412301371014,4.7856043607907655,5.0816975209953394,74.54722871474382,45.365813313850246,145.30845621880593
react_77_c1_frag_0,1.659165214158944,2.907364475620174,2.9072465310031608,12.20328929472681,50.67161088158877,156.17277188228826
react_77_c2_frag_0,1.6647516510575144,1.6648874293197422,2.354504310126354,5.651461308787723,67.16246076866551,149.6188236559408
react_78_c1_frag_0,1.6837257488288522,4.4257369934349375,3.714880791164974,27.122987706136684,47.260932321840045,147.93426921533074
react_78_c2_frag_0,1.685662278663677,3.645833483741165,3.0131603412456833,15.771384800096783,20.6537242355686,157.8058702954365
react_78_c2_frag_1,1.6839347454694118,4.425763039774756,3.714840446573589,27.12584880268152,47.18251434602752,142.42789263839265
react_79_c2_frag_0,1.686575126877369,3.1368574608987596,4.68117630895113,21.11366275839607,50.08358273960457,147.0953342359595
react_80_c2_frag_0,1.6897600087784188,3.4128157654128963,3.2109623433813885,15.71492272679212,68.88381763561723,154.34299361552797
