,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,b1_2,b5_2,l_2,vol_2,espmin_2,espmax_2,b1_3,b5_3,l_3,vol_3,espmin_3,espmax_3,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,Olefin Type,ddG er (kcal/mol)
react_527,1.89743429478016,7.428194580831419,3.458749827680258,37.48690200391695,33.69040984695533,150.88678020766696,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.6422184301232463,7.186214331599814,3.0285401779014234,35.521891788385815,29.39093013836425,150.21459426075728,3.123607571622745,4.73181759168331,6.059268749718631,0.0002112667497989,47.93164575502975,140.6071370165324,-5.5143,-0.756,0.35265,-0.36523,6.63,6.31,4.41,-0.2404,0.04532,203.86322162162173,53.57657297297297,124.40160540540546,32.21621621621618,13.3423,4.91761621621622,0.680562162162162,0.0271135135135135,0.0,0.0,150.72368648648649,61.45626756756759,95.00031081081076,93.94922432432432,23.0066135135135,6.77727837837838,1.7914405405405405,0.3068081081081081,0.0135783783783783,0.0,tri,1.805809283794797
react_528,1.6421984261019424,7.186307213300765,3.028380023929335,35.51955708750696,34.510091016040185,149.610249805813,3.123538319318541,4.7318974626254855,6.059323618888004,0.0018505380856887,46.59001708160512,146.19426791253798,1.5817791245859651,4.3940809159343575,4.459736575894414,11.8637593775749,50.87009206388253,149.68981217064413,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.4715,-0.7459,-0.37007,0.35494,6.92,6.43,4.37,-0.23966,0.04613,150.60675,69.9604,80.85589999999999,73.07910000000001,5.209199999999999,0.0,0.0,0.0,0.0,0.0,202.5271,67.17280000000001,101.99535,8.016100000000002,0.0,0.0,0.0,0.0,0.0,0.0,tri,0.17548220219461808
react_529,3.109450642086173,5.300733257097878,6.062292535660885,33.6056726119977,46.86158222097205,143.98617874513727,3.123538319318541,4.7318974626254855,6.059323618888004,0.0018505380856887,46.59001708160512,146.19426791253798,1.5817791245859651,4.3940809159343575,4.459736575894414,11.8637593775749,50.87009206388253,149.68981217064413,1.9268409918383096,3.044576819023704,3.4401201353198885,8.784023930668917,59.11257314087349,153.58736886404245,-5.5492,-0.6432,0.33371,-0.31334,6.43,5.78,4.83,-0.2359,0.05395,209.558,32.11533333333333,89.10500000000002,7.788666666666667,0.0,0.0,0.0,0.0,0.0,0.0,152.74166666666665,56.203333333333326,64.17466666666667,60.25866666666667,5.188666666666667,0.0,0.0,0.0,0.0,0.0,tri,1.7625732599478108
react_530,3.109259749074762,5.300778209774782,6.062161593304521,33.601564186093924,47.20281189281369,142.62348081378147,3.123538319318541,4.7318974626254855,6.059323618888004,0.0018505380856887,46.59001708160512,146.19426791253798,1.5817791245859651,4.3940809159343575,4.459736575894414,11.8637593775749,50.87009206388253,149.68981217064413,1.4360067687839857,3.549035441366099,6.105653015533583,19.724315309839938,34.888127193035075,152.09985666376278,-5.7397,-0.8087,0.31047,-0.23603,6.52,5.89,5.53,-0.23938,0.05104,208.59722820512823,57.05076153846154,124.44781025641022,32.31697948717947,16.287489743589745,6.197323076923071,0.9390435897435894,0.0387692307692307,0.0,0.0,155.23898205128205,68.2514,91.65160256410256,94.61351282051284,24.388420512820524,8.157448717948723,2.9971769230769234,0.5509948717948718,0.0258666666666666,0.0,tri,2.191783138806083
react_531,3.109313657911948,5.300712847598177,6.062211500312093,33.605710694729225,47.35662670010024,141.6327848028648,3.123538319318541,4.7318974626254855,6.059323618888004,0.0018505380856887,46.59001708160512,146.19426791253798,1.5817791245859651,4.3940809159343575,4.459736575894414,11.8637593775749,50.87009206388253,149.68981217064413,1.8660753417904523,4.378682124668602,3.474917650620088,11.09600080268634,50.80505899054566,148.59051479020317,-5.4761,-0.6198,0.33856,-0.31445,6.56,5.84,4.8,-0.23492,0.05493,207.12986363636364,70.03968181818182,106.55222727272724,8.824090909090913,0.0,0.0,0.0,0.0,0.0,0.0,155.1215909090909,76.50590909090907,81.32072727272727,73.71299999999998,5.884636363636364,0.0,0.0,0.0,0.0,0.0,tri,0.3489926290625386
react_532,1.6830815914985258,8.342619317267495,5.0823838016352605,65.89879708227873,20.519530770864428,146.29511163350077,3.1091409824547,6.371666625130822,6.0622853124490295,56.48892600825238,45.97627855890611,139.73348313050937,1.9267000854290928,3.0444451322268336,3.440118943812928,8.78380431778683,58.43156070852383,155.490201406678,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.855,-0.7646,-0.23091,0.29923,6.98,5.62,5.04,-0.2371,0.05,153.9705,90.508125,37.289125,78.38499999999999,3.89375,1.308625,0.0,0.0,0.0,0.0,209.801875,54.75625,93.000875,7.796125,0.0,0.0,0.0,0.0,0.0,0.0,tri,1.160758557098852
react_533,1.683172774028748,8.342821529846622,5.081783654542001,65.89909376455954,20.500638531534083,147.33319659475782,3.109189253370168,6.371671393979141,6.062282778577921,56.49012664402077,45.87773742118885,138.8188769725243,1.8990585285045325,6.253757745360363,4.816147169081765,54.5712364593085,33.96198132416791,147.21274740720222,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.8258,-0.7452,-0.23035,0.30295,7.0,5.59,5.4,-0.23652,0.05062,154.35865229110516,107.39622641509432,63.55511859838276,98.09051212938,28.317997304582185,15.808964959568728,4.119032345013478,0.9175040431266844,0.0272075471698113,0.0,210.6636199460917,72.85454177897567,130.2673261455525,36.07913207547167,17.080849056603764,4.997444743935311,0.6347331536388141,0.0135687331536388,0.0,0.0,tri,1.805809283794797
react_534,3.1103818133096928,5.707639048919429,6.061986332147699,78.60256713965155,44.99564679585704,140.85353557489034,3.109189253370168,6.371671393979141,6.062282778577921,56.49012664402077,45.87773742118885,138.8188769725243,1.8990585285045325,6.253757745360363,4.816147169081765,54.5712364593085,33.96198132416791,147.21274740720222,1.5818850569679386,4.394207631164568,4.459604575793028,11.85907591400426,51.023248362732296,147.9565941824603,-5.7764,-0.7321,0.30052,-0.23348,7.38,7.0,5.58,-0.23681,0.0503,207.97175555555555,86.10893333333334,115.84242222222224,9.334200000000004,0.0,0.0,0.0,0.0,0.0,0.0,155.00648888888887,109.0026222222222,70.01053333333333,79.80024444444446,4.501733333333335,0.9356888888888888,0.0,0.0,0.0,0.0,tri,0.3489926290625386
react_539,1.642253167042943,7.186268871149738,3.0285263675763456,35.52277177478402,34.326612832138856,149.82718353155215,3.123463251283621,4.731859108086825,6.059378086808229,0.0002607095984849,47.43490336078034,141.7083865789314,1.8945392372058207,4.382164942123138,3.4590422081711334,10.970117623633657,50.81954285035438,151.09802072824672,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.6664,-0.9348,-0.28734,0.33349,6.79,6.29,5.82,-0.2499,0.03804,149.703,58.15053333333334,72.47753333333331,67.2202,5.109933333333333,0.0,0.0,0.0,0.0,0.0,203.33786666666663,44.452466666666666,96.9654,7.905466666666668,0.0,0.0,0.0,0.0,0.0,0.0,tri,1.5435335641084713
react_540,1.642230112723131,7.1862488028540135,3.0283078795397755,35.519147459170775,31.82985933159759,145.63761787954354,3.105137679984103,5.443745326387464,6.054722201305367,0.0007116642433328,46.726532645099326,141.66751092587546,1.89079187497788,5.637754633636042,3.459922056124077,18.200149782575995,43.19217253376922,150.06368770885578,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.4831,-0.763,-0.36906,0.35244,6.95,6.44,4.38,-0.2399,0.04586,150.15745833333332,60.10104166666667,88.31985416666664,73.52149999999999,7.084062500000002,0.205125,0.0,0.0,0.0,0.0,203.3560833333333,53.0279375,110.58989583333334,12.215166666666669,0.1999583333333333,0.0,0.0,0.0,0.0,0.0,tri,1.7249256291987816
react_541,1.6924767519824586,5.05574864361851,7.664069223889562,56.80891136062419,30.033125838976726,151.21612183812027,3.1235515186820253,4.731876573563162,6.059298657531279,0.001548620225549,47.55347001992896,138.99191948570328,1.3954933668861726,10.68515199556812,7.309157077004598,21.26135235364622,21.714751445019857,146.45659655177786,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.6935,-0.9663,-0.2866,0.33401,7.7,6.59,5.63,-0.25072,0.03729,151.59036475409846,65.55995081967212,121.96955737704918,127.58757786885242,48.11761065573768,23.16093852459016,13.586065573770492,7.118725409836065,3.450290983606558,4.923782786885245,204.03113934426216,73.32224180327877,146.48070901639338,66.78338114754092,36.02267622950818,20.28247131147541,9.82462295081967,4.787241803278688,3.0117745901639346,2.518606557377049,tri,1.988440635339029
react_542,1.692677482725331,5.055428538559253,7.664211699420162,56.79815892428602,29.401977881822624,151.68443209208402,3.10505575893286,5.443713721426018,6.054778120421113,0.0026651202135435,47.41295659360775,140.51771616418853,1.6043054592839066,4.400423197958143,5.648898988682404,33.18942669486433,46.02748176280283,150.91677440727378,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.6761,-0.9457,-0.28688,0.33485,7.05,6.57,5.74,-0.25014,0.03777,150.0563146067416,61.84257303370784,95.74629213483146,85.10280898876402,13.233550561797747,0.3248426966292135,0.0,0.0,0.0,0.0,203.46732584269665,59.16268539325842,119.22153932584266,23.70269662921348,0.7521348314606742,0.0,0.0,0.0,0.0,0.0,tri,1.4039556856472213
react_543,1.9006528296832776,6.094272656664352,4.11348903677238,44.503193311774496,40.80031213554516,149.14300004285187,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,1.6422632798048298,7.186286203701584,3.0284001770879185,35.521066785871895,29.41724085738806,152.4482511759705,3.123525390777817,4.73197092345987,6.059335266933374,0.0024602527960329,47.61469649532497,137.8844951046274,-5.4869,-0.7247,0.3543,-0.36754,6.7,6.35,4.41,-0.23956,0.04615,203.7115029239766,49.72474269005847,125.6398596491228,39.77064912280701,12.563783625730997,1.7631228070175444,0.0,0.0,0.0,0.0,150.41359649122796,59.12676608187135,94.11152046783629,95.5174385964912,23.925245614035088,8.910163742690061,1.1399707602339182,0.0289590643274853,0.0,0.0,tri,1.0814146137627292
react_544,1.6925451497592352,5.055636943191185,7.664142983397235,56.79693731503627,29.4426977242774,150.6266441492627,3.105208632189906,5.443687064064707,6.054742073352405,0.0009012580271706,47.6211763463547,138.49948161815837,0.9137675844292628,4.214765580559136,5.891204906222725,22.262013205043303,33.113451411260925,145.81257216307085,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.5657,-0.8048,-0.36279,0.35251,6.59,6.38,4.44,-0.24173,0.04386,149.54036551724133,66.64912413793103,85.80258620689656,78.5078620689655,10.905234482758624,2.080089655172414,0.2060965517241379,0.0,0.0,0.0,202.96737931034488,54.057041379310334,114.85702068965516,18.77353103448276,2.946110344827586,0.0902758620689655,0.0,0.0,0.0,0.0,tri,1.3256122210632166
react_545,1.6421737035325037,7.1862808159705365,3.028575957957464,35.521474360532565,29.494804479058537,154.65195047537895,3.123543819231591,4.731977946055429,6.05927274707638,0.0021976547043393,47.38849483123435,142.33013908780995,2.47592949701356,5.55834566561411,3.4661300354134315,23.944555844334907,36.32400822796014,147.24588580575443,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-5.6493,-0.9319,-0.27851,0.32488,6.45,6.06,5.77,-0.24982,0.03816,148.60458461538462,75.34616923076923,105.65975384615383,111.33373846153842,28.495661538461533,30.953630769230774,6.024169230769231,0.7041692307692308,0.0,0.0,202.7498,65.9755230769231,141.63619999999997,56.80704615384615,31.666338461538466,7.583707692307692,0.7032615384615385,0.0,0.0,0.0,tri,0.8230152120789842
react_546,3.1094179698337148,5.30080625035373,6.062210116268024,33.60210065411478,46.65292898468391,141.7897492056781,3.123543819231591,4.731977946055429,6.05927274707638,0.0021976547043393,47.38849483123435,142.33013908780995,2.47592949701356,5.55834566561411,3.4661300354134315,23.944555844334907,36.32400822796014,147.24588580575443,1.890734056626896,5.637749105386658,3.459859175432473,18.19625363882285,43.18277382244444,146.59870874672418,-5.7428,-0.8098,0.31095,-0.23609,6.22,5.98,5.43,-0.23939,0.05106,208.36254237288145,59.40198305084748,111.81562711864402,12.48922033898305,0.1640508474576271,0.0,0.0,0.0,0.0,0.0,154.83849152542373,68.1588305084746,88.86628813559322,72.91935593220339,7.325186440677966,0.1252711864406779,0.0,0.0,0.0,0.0,tri,1.886692938446767
