,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_176,1.6777290485597314,4.207773535271289,5.557972499945062,37.98885827869424,29.842492352853235,151.90569130334396,1.6479191435167555,5.480525118491199,3.589336561740695,32.12673573021258,28.35107528664989,150.5085095303835,-7.2575,-0.105,-0.2102,-0.2537,4.55,4.43,4.42,-0.37506,0.02244,129.4545,33.239000000000004,10.6985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1745,24.866,21.3515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9901792929597832
react_177,1.6937257552761973,7.192744056581457,6.144798958171292,64.08800094899522,8.200878767969948,150.9052601105252,3.930968054775071,4.2259251990532425,6.162176804347317,28.490156907136505,41.831063581890845,141.50165276860702,-6.2808,-1.2048,-0.17084,-0.23213,3.98,3.55,3.53,-0.25531,0.03032,142.836,27.127,29.638,78.812,108.819,0.0,0.0,0.0,0.0,0.0,165.71300000000002,4.25,81.237,133.72699999999998,2.305,0.0,0.0,0.0,0.0,0.0,1.5981284553068844
react_57,1.6569898237962115,8.250367718609319,3.3785572816678555,42.3173930464895,23.050352701741907,145.8087786800779,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-6.4852,-0.1465,-0.24356,-0.41007,7.59,5.38,5.32,-0.23835,0.04693,111.20587999999996,24.434260000000005,50.77776000000001,48.57296,40.59329999999999,31.49628,11.188,0.8176999999999999,0.0,0.0,86.47386,32.65962,51.80876,41.93414,39.69138,39.2242,19.18232,7.600759999999999,0.5111000000000001,0.0,0.6577016188442584
react_59,1.3392726048628891,5.90995048055292,7.350427722235608,54.42079290905632,6.717128675209794,135.49644845795217,1.6757158491522537,3.767151114224185,3.7006995769389808,11.37381935866266,20.85916612939818,145.36186267119925,-5.7826,-1.5521,-0.26155,-0.16345,5.95,5.69,4.09,-0.37695,0.01498,167.97715277777783,54.63366666666667,40.35145833333336,82.86606944444448,65.82476388888892,24.001555555555548,3.109638888888889,0.0965833333333333,0.0,0.0,135.0789583333334,51.56966666666668,62.246791666666695,22.746347222222223,75.6107222222222,66.88472222222221,21.382152777777787,3.244944444444445,0.0965833333333333,0.0,0.2888668574011894
react_63,1.65669457729403,2.8623450210134647,2.723025809550281,12.847096885804824,44.505688280975086,146.0977700711537,0.0002302102425473,3.1017073130969988,6.0630762898387935,0.0039530444500881,48.75256142349296,145.67971385026385,-6.2714,-1.0406,-0.22738,-0.22261,5.81,5.5,2.85,-0.24694,0.03775,137.51395238095242,58.78780952380953,19.2837619047619,73.76233333333333,5.163333333333334,0.0,0.0,0.0,0.0,0.0,173.62842857142857,18.23709523809524,94.9087619047619,7.7369047619047615,0.0,0.0,0.0,0.0,0.0,0.0,0.9856069103319527
react_64,1.6570706707083578,4.238256926071943,2.757695814986344,18.90870281166635,34.92784609513584,150.85322369955554,0.0003405381838892,3.101787000910866,6.063104132051299,0.0061404888958763,48.57923226398852,145.37439535306507,-6.2348,-1.0008,-0.22056,-0.22299,6.89,5.91,5.55,-0.24735,0.03966,136.17716666666666,77.07088888888887,25.92652777777777,74.46322222222223,5.099666666666668,0.0721666666666666,0.0,0.0,0.0,0.0,173.88641666666663,19.37755555555555,113.89580555555555,11.525416666666665,0.1244444444444444,0.0,0.0,0.0,0.0,0.0,0.14192114438699568
react_68,1.664755921543298,1.6648395321357643,2.3544226715640373,5.650982362383601,67.87079320626891,151.11354512425692,0.0004287005585757,3.101778439477389,6.063157212866433,0.0069934444380463,49.05587157663619,142.9285685757485,-6.052,-0.7996,-0.17451,-0.23303,5.8,5.77,3.18,-0.24167,0.04274,120.498,53.774,23.571,74.58175,4.6005,0.6635,0.0,0.0,0.0,0.0,175.557,7.9015,86.3375,7.892749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.46142554814826847
react_69,1.6477457161414262,8.138505310036168,4.292635868474679,52.12219875952715,30.17766894285501,150.23005954537552,0.0,0.0,0.0,0.0,82.18179015777437,154.4812493882816,-7.132,-1.3459,-0.23533,-0.38436,5.68,5.2,4.61,-0.25098,0.03615,108.18790909090907,31.27590909090909,33.03554545454545,49.30590909090909,34.983636363636364,59.419,16.958181818181817,1.1015454545454544,0.0,0.0,86.11227272727274,30.670181818181813,35.767999999999994,33.95572727272727,42.74845454545454,47.089818181818174,41.19136363636364,15.405818181818178,1.326,0.0,1.1075894836747928
react_73,1.6477661673647768,8.137995880328042,4.292009361535736,52.1112436706598,14.340386608489862,153.53899786138308,1.6669514066820927,2.331137209123556,3.5017573644383657,11.81916425678856,47.23764688871724,142.31896082238202,-6.9988,-1.2767,-0.23645,-0.23924,6.25,6.03,5.56,-0.25048,0.03351,124.86233333333332,58.267555555555546,31.494000000000003,60.228,29.284777777777776,53.22355555555556,19.321444444444445,1.3264444444444443,0.0,0.0,129.5258888888889,27.467888888888883,33.30355555555556,44.632,43.316,53.208,43.61533333333334,2.9394444444444443,0.0,0.0,0.8230152121319365
react_76,1.680951644001707,11.25394403030844,3.7748856807104265,68.8887890758376,23.211249831899377,149.28715051405538,1.6881580136787928,3.774083180496453,7.956894689785003,6.888453899326323,32.517750397244534,142.98300301415392,-6.4989,0.2124,-0.21131,-0.2188,5.74,3.69,3.19,-0.37943,0.01827,136.2692851851851,26.37391481481483,80.92677777777774,73.07588888888893,62.044129629629616,52.86067037037039,31.232040740740757,17.339803703703705,11.41173703703704,10.020329629629629,135.27965555555548,46.88178148148147,63.24383703703706,75.58270740740738,65.26592592592591,47.92710370370369,28.4700185185185,16.45504444444444,10.97563703703704,11.472866666666665,0.22007089686239037
