,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,b1_2,b5_2,l_2,vol_2,espmin_2,espmax_2,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_399,1.68335553678077,5.717175186822436,3.716147189722117,35.629278352306336,44.256107747601725,146.28123840315632,1.687360360381325,3.2511025448987936,6.0086158170419735,29.5199991871136,44.26411690195836,143.2749548694026,2.223596387055806,3.100180715845468,8.167280177028465,26.98089745561144,22.53627447989812,140.4328864848746,-5.4341,-0.4044,-0.04026,-0.19353,5.68,5.48,4.72,-0.24078,0.05126,217.94366666666664,36.851333333333336,86.61433333333333,4.903,18.709,25.13233333333333,2.252,0.0,0.0,0.0,157.688,85.83866666666667,33.659,67.53933333333333,1.5873333333333337,36.287666666666674,7.553666666666666,2.252,0.0,0.0,2.1704322732064125
react_400,1.6835323554422044,5.717078272180356,3.716236805585732,35.63303717920534,44.38045069416343,147.14613307275442,1.6872893289493305,3.2512511584601933,6.008423044720837,29.51902272750353,44.099721971269744,145.34130213519464,1.5398235120411865,3.1012856928834966,7.386318897857963,16.949813391412857,24.8645718084674,149.37213248991742,-6.2812,-1.2365,-0.04869,-0.17376,5.99,5.48,4.66,-0.2601,0.02813,216.75475,36.44175,88.57825000000001,4.5465,17.332749999999997,33.925,0.0,0.0,0.0,0.0,157.46900000000002,86.7745,33.032250000000005,67.32575,1.71975,37.11925,14.1385,0.0,0.0,0.0,1.809926312713154
react_415,1.647712574013357,8.138102045035666,4.292439788906071,52.11564785409867,28.789435329420584,146.10696446539535,1.6706883064513425,4.997800609465282,5.792202502748725,6.076906726017573,25.455921671825745,141.85740344881796,1.6916335691169857,5.742844116142506,6.664180663754629,50.73186480927695,32.0405280655492,136.40283857170868,-6.4787,-1.3273,-0.0481,-0.21504,5.67,5.55,5.27,-0.25076,0.03641,172.1501617647059,81.90083823529409,74.03852941176467,79.52225490196082,36.06745098039217,59.98174019607841,13.120475490196087,1.2474019607843134,0.0,0.0,145.805705882353,89.61396078431375,85.61954411764702,61.170318627450975,36.34218137254904,55.87682352941177,33.5043137254902,9.35871568627452,0.7372892156862741,0.0,2.8730026748254267
react_416,1.647896688120377,9.814159425545478,4.709056792697212,71.69910694842194,-2.041302045114371,152.0115898013324,1.6820408023801072,5.05918636792694,6.023457189653517,50.14661751134969,24.68638572567289,143.06559342592774,1.6796585598141696,6.0249817778036325,4.312167546327135,39.78057147753776,17.974758865234442,143.79231364799938,-6.7154,-2.8317,-0.05035,-0.2112,5.64,5.51,5.36,-0.28911,0.00147,172.01902325581395,80.91535813953492,73.20708837209304,83.56639069767444,31.844441860465132,57.0101534883721,12.850753488372083,28.290995348837203,27.703558139534888,0.0,145.58747906976745,87.84722790697676,84.55735813953484,66.25329767441865,32.76507441860467,55.99514883720932,30.79108837209304,24.83386976744189,26.70711627906977,12.070102325581397,2.8730026748254267
react_417,1.647723108661638,9.564752081591552,4.293672114867659,60.84835660177472,32.620368965989464,146.449325097553,1.6950529628710422,4.948612220180915,6.179945484859831,50.30639952132814,24.449144977754568,142.40785218223593,1.423595208882824,5.3264320098938285,6.386060152785076,25.111246777026093,18.656427860741523,148.35599837464454,-6.664,-1.5304,-0.0631,-0.17318,5.54,5.26,5.24,-0.26101,0.02739,172.0035346534654,80.40156435643563,74.19261386138615,80.45722772277226,34.24307920792078,57.88858910891089,12.58098514851485,152.0106584158416,37.43003465346536,0.0,145.6717475247525,88.29984158415837,84.56276732673265,62.29442079207924,37.38854455445544,51.81803465346535,33.27408910891089,79.88474752475251,73.10133663366338,44.912757425742576,2.8730026748254267
react_418,1.6477444965727102,9.889033994739805,5.587775121690176,77.76615895129196,12.299259136509766,144.90913504612445,1.6970893641956215,5.466973992932014,6.145753488275043,29.89001229893884,31.066730319874164,143.3129740993556,1.691884108779588,5.742674381530412,6.664239661932751,58.77975321881463,14.859194620205292,145.69500889156313,-6.2544,-0.9627,-0.05091,-0.18719,5.73,5.52,4.74,-0.25034,0.04153,172.25577659574466,80.42314893617018,74.3018971631206,81.62479432624122,35.73609929078013,54.8212340425532,13.944911347517737,27.54047163120568,16.234138297872338,2.136978723404256,145.7241453900709,88.9367375886525,83.00568085106387,66.1497234042553,33.81073049645392,56.54528014184399,30.802205673758845,24.650918439716328,19.043499999999987,10.350528368794327,2.8730026748254267
react_419,1.6834816492550158,5.717188235301634,3.716070990758257,35.631450106463426,42.51378189873199,145.51007846249772,1.683461752566576,5.717173084685538,3.716110971838962,35.631160529288486,42.489215907035785,139.39524611407631,2.520054384617448,3.09584671244798,8.289382195165583,26.8095151520348,39.20874713087824,142.79941972241656,-5.7356,-0.5835,-0.0422,-0.18786,5.74,5.5,4.65,-0.23792,0.05011,217.6675714285714,37.41228571428572,88.53057142857143,5.152714285714285,20.10757142857143,82.80257142857144,7.552,0.0,0.0,0.0,158.30457142857145,77.9737142857143,46.30371428571429,63.960142857142856,2.221,58.11928571428572,45.146428571428565,7.196428571428571,0.0,0.0,1.9649857534427173
react_424,1.674319152047268,7.573380456196649,4.630989062725702,56.57893780662474,-5.178300319328996,141.68299829882702,1.6834551763449843,5.71713076347085,3.716257695234879,35.6318627853559,40.28515346789765,145.1968751205681,1.6833896114945577,5.717162606488652,3.716027677383845,35.62877926817308,47.517436480939615,142.3046772635958,-6.1175,-1.0498,-0.03644,-0.20677,5.48,5.45,5.06,-0.25449,0.03118,250.36627450980384,163.8809215686274,87.02133333333333,135.07801960784312,51.435137254901946,45.311764705882375,3.088019607843137,0.0,0.0,0.0,152.5409803921569,222.24362745098048,105.44962745098044,103.11682352941176,67.80452941176472,51.655490196078425,31.246627450980395,2.123764705882353,0.0,0.0,0.19130305046138418
react_426,1.6893589886374791,6.048876115321775,7.289669037760969,52.108900541156544,26.99911630134279,144.40706685350975,1.6754273500496828,5.952895546413838,5.788245965331569,49.62010868245311,38.84225995190556,138.74240201703157,0.9596206520135954,6.560574643523128,5.576146262254414,34.1306926776942,30.44199626250461,150.1697222508971,-5.9142,-0.9736,-0.12548,-0.13672,5.56,5.3,4.84,-0.23997,0.04921,156.00441414141414,64.44652525252526,76.96424242424239,136.4401414141414,58.29743434343434,75.40720202020204,26.61521212121212,9.006161616161615,0.5611515151515152,0.0,196.7787878787878,32.49903030303031,138.4053737373737,91.19763636363638,76.932202020202,48.76183838383839,17.892656565656562,1.274959595959596,0.0,0.0,1.7501853858042917
react_483,1.6777223385417117,4.207969149842131,5.55779668813197,27.670878393806927,21.922757781796403,149.5584244890287,1.6866041935145442,3.1370854330604927,4.680948256195254,21.11615184229234,47.40392848937535,144.76570840709343,1.6838293390211438,4.425701586902478,3.714809662472812,27.123578068756167,47.21782229581786,144.80598805165567,-6.2753,0.3011,-0.02653,-0.20202,5.4,4.7,4.46,-0.38253,0.0158,176.72121428571427,45.66285714285714,14.754357142857142,16.15628571428571,0.1569285714285714,0.0,0.0,0.0,0.0,0.0,153.2054285714286,28.96457142857144,33.861428571428576,21.25742857142857,14.907571428571428,1.2552142857142858,0.0,0.0,0.0,0.0,1.0118407982395623
