,b1,b5,l,espmin,espmax,b1_min_b5,b1_dot_b5,b1_add_b5,ddG er (kcal/mol)
react_81,3.1296722602531672,3.129819330620413,3.6290801472849976,56.38586465385468,145.82833174963002,-0.00014707036724592726,9.795308738646844,6.25949159087358,0.8606176142775799
react_82,1.7024099173873892,4.951614125432211,3.659173226154077,47.313336767113285,144.43886539384374,-3.249204208044821,8.42967699421128,6.6540240428196,1.493427750076506
react_83,0.0067456568481396,4.166852287639975,8.168074951279566,37.09280509346041,138.78040311196094,-4.1601066307918355,0.02810815566930476,4.173597944488115,2.8730026748254267
react_81,3.1296722602531672,3.129819330620413,3.6290801472849976,56.38586465385468,145.82833174963002,-0.00014707036724592726,9.795308738646844,6.25949159087358,0.8230152121319365
react_85,2.283828040629363,3.955996237281703,8.1648485809063,16.94060004247209,147.8228051476089,-1.6721681966523398,9.034815135328206,6.239824277911066,2.112330669903123
react_93,2.872323258981482,9.949698884738693,8.93711757888065,7.759973986049619,141.27830081326798,-7.0773756257572105,28.57875152649706,12.822022143720176,1.3635830574449357
react_94,2.438552149591417,6.460600809450325,7.581815033331953,26.15146508994525,138.41379978098556,-4.022048659858908,15.75451199153714,8.899152959041743,1.4470889050346116
react_95,2.344129087137264,9.608571597295205,7.686644476969745,4.283821276558282,145.47028476126823,-7.264442510157941,22.523732167060654,11.952700684432468,1.4470889050346116
react_96,2.8726915518400142,7.644978038162069,8.958766754447021,7.588335713560332,141.0967750623285,-4.772286486322055,21.961663824230623,10.517669590002082,1.3635830574449357
react_80,1.6897709549438948,3.412654916377794,3.211142806612351,68.87478614283371,154.67856942705393,-1.722883961433899,5.766605156941682,5.102425871321689,0.94147487006162
react_179,1.6439957301289163,3.201190069411823,2.9436689152713007,66.6322144515982,155.1836344793907,-1.5571943392829066,5.262742805444126,4.845185799540739,0.8606176142775799
react_180,1.662210672094186,2.9095623780693787,2.904307461239301,50.98281730013516,155.99991279012704,-1.2473517059751926,4.83630563595066,4.571773050163564,0.8048244472990138
react_181,2.1781233287211688,2.1781547246033983,2.725119815119581,50.45130184516679,167.13959830838874,-3.1395882229556804e-05,4.7442896192228945,4.3562780533245675,0.8048244472990138
react_182,2.930593855902662,2.930731573084388,2.8762470620674394,54.81746064718287,160.70290599941106,-0.0001377171817260603,8.58878394138105,5.86132542898705,0.94147487006162
react_183,1.6593087284723316,2.907247169159015,2.907377400456329,52.68576479629296,153.70462026334403,-1.2479384406866836,4.8240206036120306,4.566555897631346,0.8048244472990138
react_184,1.664788464727418,1.664815957646187,2.35455111577562,67.14057612493035,150.28600634435222,-2.7492918768912133e-05,2.7715664021835016,3.329604422373605,0.3966976844670258
react_185,1.6821416817567505,3.092167531332264,3.694910056510551,55.95854645595335,149.73227021432805,-1.4100258495755134,5.201463891428874,4.774309213089015,0.8416047555871515
react_186,3.367004436519638,3.367123620719554,4.114057519886007,49.59404164402142,145.76971132105876,-0.00011918419991596707,11.337120169272804,6.734128057239191,0.5126175079350523
react_186,3.367004436519638,3.367123620719554,4.114057519886007,49.59404164402142,145.76971132105876,-0.00011918419991596707,11.337120169272804,6.734128057239191,0.5398429551606685
react_2,1.6886559082078831,3.2185092269571536,5.654304640417105,45.07973281369924,151.67140800755303,-1.5298533187492704,5.434954621722784,4.9071651351650365,0.8416047555871515
react_187,1.6832283606446252,8.140692716600398,3.715988334447045,27.768616542206864,148.00391191047592,-6.457464355955773,13.70264485587493,9.823921077245023,1.031767447058487
react_187,1.6832283606446252,8.140692716600398,3.715988334447045,27.768616542206864,148.00391191047592,-6.457464355955773,13.70264485587493,9.823921077245023,1.163063982201545
react_188,1.6802947166025832,5.935062463563118,3.716891433858722,16.542762176673435,142.54878854993925,-4.2547677469605345,9.972654100231418,7.615357180165701,0.6869551246443248
react_189,1.691545029634966,4.189815424135479,4.123324355137604,48.9348826681863,145.0103624263766,-2.498270394500513,7.087261455784286,5.881360453770445,1.1925691598929764
react_190,1.6865705821392678,5.6625536605898334,5.769181557001218,38.159951022242,147.30835525190662,-3.9759830784505654,9.550296423735837,7.3491242427291015,1.3256122210632166
react_191,0.000231993990337,3.103308971162611,7.343027322808733,37.41983698706025,144.77143844705864,-3.103076977172274,0.0007199490314686241,3.103540965152948,2.494054670518096
react_192,3.340258291283837,4.78611852152492,4.147924935940502,45.43114194414701,140.07067986174468,-1.4458602302410832,15.986872074590755,8.126376812808758,0.3966976844670258
react_193,1.6761185209538945,6.059113129875943,3.3836582558439305,36.28769940056675,146.2468858992835,-4.382994608922049,10.155791737539987,7.735231650829837,0.5126175079350523
react_194,1.665780162537674,7.291984025665322,3.9551593718522207,33.62022862318385,149.47788722548654,-5.626203863127648,12.146842335494902,8.957764188202995,0.7695506037328774
react_195,1.642296737369448,7.186229351770494,3.02866879081248,30.64512076386517,154.0028541158868,-5.5439326144010455,11.801921018401245,8.828526089139942,1.493427750076506
react_195,1.642296737369448,7.186229351770494,3.02866879081248,30.64512076386517,154.0028541158868,-5.5439326144010455,11.801921018401245,8.828526089139942,1.255752230391482
react_196,1.6925671198953771,5.78780709004236,7.696082488305684,35.832441908316724,150.29251656684025,-4.095239970146983,9.796251976903042,7.480374209937738,0.3241006147030766
react_197,1.6424280319575826,8.45173785751965,3.03172418665185,26.62267067259897,152.4641749190068,-6.809309825562067,13.881371175947393,10.094165889477232,1.7249256291987816
react_198,2.223647119784436,3.1001873591557194,8.167219733329864,23.81829251480941,143.29393728184365,-0.8765402393712836,6.8937226919787316,5.323834478940155,2.494054670518096
react_199,0.0002126949556563,2.6909065689778564,8.677401681123355,37.22759105260521,147.6020419825842,-2.6906938740222,0.0005723422533639916,2.691119263933513,1.008155128006235
react_200,1.3306604704816691,4.612744835017586,6.880221674979805,43.92039990808349,146.90279751361655,-3.282084364535917,6.13799721237639,5.943405305499255,0.9852697138169656
react_201,1.2994695694654503,5.608642330815285,9.066114403845155,30.41544596036553,147.91822944579363,-4.309172761349835,7.288260034910238,6.908111900280735,0.6558249414364155
react_202,1.7536538256812624,7.585666146835621,4.909378656467772,27.2085515399312,151.37917929512668,-5.832012321154359,13.302632458739128,9.339319972516883,1.1075894836747928
react_203,1.6923308032232716,5.05125396787302,9.940709132678355,13.053301058110703,145.61305527639848,-3.3589231646497484,8.548392684735285,6.743584771096291,1.7249256291987816
react_204,1.6924679888561165,5.060621272192686,8.726361796138985,29.44329931760533,147.071400836559,-3.3681532833365697,8.564939506910438,6.753089261048803,1.543533564108471
react_205,1.6867381782705686,7.122726532239548,3.724282389466044,27.695964248897404,145.01326553618398,-5.435988353968979,12.01417477530918,8.809464710510117,1.3256122210632166
react_206,1.687785948643011,3.287345568102873,9.362531844772542,25.528413699216816,147.87508013767868,-1.599559619459862,5.548335658177905,4.975131516745884,1.3256122210632166
react_207,1.6424587279098095,9.120885720409994,3.032589766488273,-10.29787692202814,155.8787710203705,-7.478426992500185,14.980678357755346,10.763344448319804,1.988440635339029
react_208,1.6416989883037738,7.179622967969472,4.475220173332347,30.79854921357165,140.38160590906034,-5.537923979665698,11.78677976291802,8.821321956273245,0.8048244472990138
react_209,1.6412094401104038,7.1815269850472845,4.371983361100683,30.598479240053344,148.30513201783077,-5.5403175449368804,11.78638988226721,8.822736425157688,1.886692938390812
react_210,1.6412933236056468,7.190714549117227,4.204005308509422,11.511321600680375,148.71886212569038,-5.54942122551158,11.802071781420095,8.832007872722874,0.31228557251126
react_211,1.6803090731865786,7.349311185452794,3.7322148673610624,36.78095742298765,144.64528180987867,-5.669002112266215,12.34911426658794,9.029620258639373,1.1075894836747928
react_212,2.113796833691216,3.688492967503312,6.635215174318991,42.4682761043081,144.57907071301568,-1.574696133812096,7.796724755800817,5.802289801194528,1.4470889050346116
react_213,1.656830265524601,5.277619314040695,4.581225237958296,28.944657389442312,143.65906383203466,-3.6207890485160945,8.744119409419808,6.934449579565296,0.1863481509286366
react_214,1.6751543608784354,7.668555336999608,5.2651385903502925,18.319016960524426,147.99097159845903,-5.993400976121173,12.846013914412493,9.343709697878044,1.493427750076506
react_215,1.689001471479621,4.6653340167903385,7.841532409150312,26.865611340028007,148.22375941368344,-2.9763325453107177,7.879756019302813,6.354335488269959,0.4091184007238878
react_216,1.6872139956070764,4.584011274038958,8.096979910087896,26.390324686791697,147.40434336734924,-2.8967972784318814,7.734207977579155,6.271225269646035,1.2234161884088224
react_217,3.242449907339447,4.899908475029729,5.232998007029027,46.00716426121555,141.11220388864658,-1.6574585676902824,15.887707780831915,8.142358382369176,0.0652097204911501
react_83,0.0067456568481396,4.166852287639975,8.168074951279566,37.09280509346041,138.78040311196094,-4.1601066307918355,0.02810815566930476,4.173597944488115,1.7538952375447845
react_218,3.1026090378051223,6.302149442234682,6.109445009095913,31.961403765078376,142.07074261206586,-3.1995404044295594,19.553105817075835,9.404758480039805,2.7734997689789584
react_219,3.109487441137408,7.256636739228228,6.04958018360572,24.938618553318868,145.45393864160835,-4.14714929809082,22.56442080552649,10.366124180365636,2.112330669903123
react_220,3.102203209636259,6.347497779432025,6.095098684348505,40.18050534527714,134.43034588916467,-3.2452945697957665,19.691227984513056,9.449700989068283,3.3719641172676784
react_221,3.089782782508591,7.543332337375368,6.585087477462989,30.54903444319065,131.74392545533502,-4.453549554866777,23.307258378762697,10.633115119883959,2.8730026748254267
react_222,3.098023665103179,5.374606029917487,7.01353428897322,41.54435983933523,140.80801402997878,-2.276582364814308,16.65065667129062,8.472629695020666,1.988440635339029
react_223,1.680637654086247,6.341604427297431,6.52213697300012,40.46054920433637,141.2024925865861,-4.660966773211183,10.657939187836112,8.022242081383677,0.1751890076501606
react_224,1.7116078243723116,4.844201119866754,6.846159382062673,31.284190902563505,142.86982603383458,-3.132593295494442,8.29137253959705,6.5558089442390655,0.8800804961461687
react_225,2.5205065034212404,3.0959740246590486,8.289247947855408,39.301943393942345,142.66551384530203,-0.5754675212378082,7.803422663576364,5.616480528080289,2.494054670518096
react_226,3.1237128942360664,3.150168021862544,5.811868747778311,45.59400750875778,139.83594940270618,-0.026455127626477726,9.840220468902151,6.27388091609861,1.4470889050346116
react_227,2.7930893374390933,6.561411284913918,6.739144062498542,19.4511823456874,139.5592773402767,-3.7683219474748246,18.326607898445605,9.354500622353012,1.5981284553068844
react_228,3.076538051504874,7.5195057873388755,6.121492346996835,10.751287591159958,144.6459897660616,-4.442967735834001,23.134045683259167,10.59604383884375,1.6973122680433244
react_229,3.108616087146151,7.435764188263935,6.048847387412483,32.07301548577827,141.28821012904768,-4.327148101117784,23.114936175862507,10.544380275410086,2.5517882814393
react_230,3.1082860285906846,6.529655756925048,6.047211683168968,41.08063241252548,132.04430946907334,-3.4213697283343634,20.296037760756857,9.637941785515732,2.0111536403510075
react_231,1.6734240899738315,7.884371862228857,5.248302543259904,1.4901363193771144,146.12514071642155,-6.210947772255025,13.193897808565609,9.557795952202689,0.3843756656061347
react_232,3.096511713929477,7.844461856444362,6.704784252539404,41.76928646693579,140.97921172806988,-4.747950142514885,24.290468027952937,10.940973570373838,2.329247163126845
react_233,3.108367853960513,7.309214209104683,6.046869659007911,31.01258880288885,139.95679988256722,-4.20084635514417,22.71972648529241,10.417582063065195,2.112330669903123
react_234,1.6668503376180692,6.086715401807381,4.374872722017953,22.955647654910543,137.85294386577516,-4.419865064189311,10.145643622487736,7.753565739425451,0.1751890076501606
react_235,1.6406791755005992,8.058243098678963,5.583830359910859,27.2838699327216,148.22268580773294,-6.417563923178363,13.220991643123995,9.698922274179562,1.988440635339029
react_236,2.726029393727637,8.007499572153632,6.047738938111117,29.72560867410048,132.133940913595,-5.2814701784259945,21.82867920395228,10.73352896588127,2.494054670518096
