,b1,b5,l,vol,espmin,espmax,b1^2,b1 b5,b1 l,b1 vol,b1 espmin,b1 espmax,b5^2,b5 l,b5 vol,b5 espmin,b5 espmax,l^2,l vol,l espmin,l espmax,vol^2,vol espmin,vol espmax,espmin^2,espmin espmax,espmax^2,ddG er (kcal/mol)
react_213,1.656830265524601,5.277619314040695,4.581225237958296,27.42719432214452,28.944657389442312,143.65906383203466,2.74508652875832,8.744119409419808,7.590312627434447,45.44220565135353,47.95638438806831,238.0186848738456,27.85326562393538,24.17796279781938,144.7502904844972,152.75888287681147,758.1778499169512,20.98762468090604,125.65015483499494,132.60199493656918,658.134528888779,752.2509883846766,793.8707428081306,3940.165059858578,837.7931913921975,4158.162383506267,20637.92662109661,0.1863481509286366
react_214,1.6751543608784354,7.668555336999608,5.2651385903502925,59.2111838412608,18.319016960524426,147.99097159845903,2.8061421327700393,12.846013914412493,8.81991987025463,99.18787282446277,30.68718114842851,247.9077214437953,58.80674095662518,40.37600663707333,454.06423985596547,140.48039528121592,1134.8769550791203,27.721684375595867,311.7550890229479,96.45216313613868,779.1929755864808,3505.964291883584,1084.6906810407863,8762.720626163164,335.5863823999816,2711.0491187166595,21901.327674655906,1.493427750076506
react_215,1.689001471479621,4.6653340167903385,7.84153240915031,0.3537977654281413,26.865611340028007,148.22375941368344,2.8527259706603254,7.879756019302813,13.244359777710011,0.5975649464143324,45.3760570855069,250.35014775795267,21.765341488221075,36.58336789217284,1.6505847501163164,125.33705046650093,691.5133468892045,61.48963052375466,2.774316643889729,210.66756201446572,1162.301413248497,0.1251728588219461,9.504993258962841,52.441234863919625,721.7610726734414,3982.121911765837,21970.28285472551,0.4091184007238878
react_216,1.6872139956070764,4.584011274038958,8.096979910087896,60.72800658385891,26.390324686791697,147.40434336734924,2.8466910669723955,7.734207977579155,13.661337826449625,102.46114263360543,44.52612516016988,248.70267114266278,21.013159360516273,37.11664719350986,278.3778668303213,120.97354588980177,675.7031718382386,65.56108366436699,491.71344928919103,213.681928809649,1193.5300069051248,3687.890783649211,1602.6318113296604,8951.571934501784,696.4492370742872,3890.0484817076767,21728.040443559395,1.2234161884088224
react_217,3.242449907339447,4.899908475029729,5.232998007029028,82.27966250981478,46.00716426121555,141.11220388864658,10.513481401605587,15.887707780831915,16.967733902998784,266.7876840808699,149.17592549572908,457.54925242320724,24.009103063668167,25.641211284455217,403.16281565442733,225.43089407561496,691.4368837641025,27.38426814156978,430.5693099328818,240.7553988879981,738.4398817167614,6769.942862729021,3785.4539484464276,11610.664511974013,2116.6591633584694,6492.172343567103,19912.654086310962,0.0652097204911501
react_218,3.1026090378051223,6.302149442234682,6.109445009095913,17.221327750447657,31.961403765078376,142.07074261206586,9.626182841470026,19.553105817075835,18.95521930119438,53.43104712154305,99.16374018247083,440.78997003588086,39.71708759225891,38.50263545643727,108.53138107702435,201.42554291112614,895.3510513104978,37.32531831916697,105.21275487497739,195.26643871625743,867.9733893898358,296.57412948833854,550.4178096028064,2446.6468222718763,1021.5313306343662,4540.780367828763,20184.095906343864,2.7734997689789584
react_219,3.1094874411374085,7.256636739228228,6.04958018360572,21.15949158529297,24.938618553318868,145.45393864160835,9.668912146591268,22.564420805526492,18.811093605075722,65.79517334532116,77.54632119086139,452.2871954700524,52.65877676511689,43.899605817260316,153.5467440212275,180.97049561961242,1055.5063950121437,36.59742039787501,128.00604098956032,150.86817260665975,879.9352648336761,447.72408414808393,527.6884894277817,3077.7313907348316,621.9346953479401,3627.420292860918,21156.848266356767,2.112330669903123
react_22,1.683459326659075,11.50651524244691,3.71609455203114,66.69904526649734,-19.42178101702687,146.5023665276882,2.834035304515426,19.37075040224206,6.255894032363799,112.28512983314077,-32.69577839344406,246.63077530866298,132.3998930246631,42.75929860532024,767.473581015608,-223.47701930788574,1685.7317135053884,13.809358719635519,247.85995874050914,-72.17317462811536,544.4166461132113,4448.76263946226,-1295.414251210674,9771.56797667926,377.20557787334525,-2845.3368811769674,21462.943398213094,1.4039556858223057
react_220,3.102203209636259,6.347497779432025,6.095098684348505,19.958047297433545,40.18050534527714,134.43034588916467,9.623664753877506,19.691227984513056,18.90823470163567,61.91391838417061,124.6480926469256,417.0302504898791,40.29072805989449,38.6886253643212,126.68366090225877,255.04566845560328,853.2963220197519,37.150227971946876,121.64626782475244,244.90414526645677,819.3662243655621,398.32365192659444,801.9244261158225,2682.9672014662997,1614.473009801845,5401.479231567036,18071.517895880454,3.3719641172676784
react_221,3.089782782508591,7.543332337375368,6.585087477462989,6.791808246455807,30.54903444319065,131.74392545533502,9.54675764308653,23.307258378762697,20.34648990917807,20.985212181999017,94.38988064483239,407.0601125719894,56.90186275209293,49.67350331319216,51.23286677474279,230.44151939091395,993.7882131399986,43.36337708583987,44.724651433066,201.16806416044028,867.5452737477441,46.128659256625106,207.48318405252473,894.7794793280035,933.2435054112486,4024.6497164161706,17356.46189438087,2.8730026748254267
