,b1,b5,l,vol,espmin,espmax,ddG er (kcal/mol)
react_200,1.3306604704816691,4.612744835017586,6.880221674979805,0.7147982441513756,43.92039990808349,146.90279751361655,0.9852697138169655
react_201,1.2994695694654503,5.608642330815286,9.066114403845155,61.81264682354498,30.41544596036553,147.91822944579363,0.6558249414364155
react_202,1.7536538256812624,7.585666146835621,4.909378656467772,0.008567637393626,27.2085515399312,151.37917929512668,1.0245321768682065
react_203,1.6923308032232716,5.05125396787302,9.940709132678355,73.59376458317489,13.053301058110703,145.61305527639848,1.7249256291987816
react_204,1.6924679888561165,5.060621272192686,8.726361796138985,64.57572059854176,29.44329931760533,147.071400836559,1.5435335641084713
react_205,1.6867381782705686,7.122726532239548,3.724282389466044,9.65630844093678,27.695964248897404,145.01326553618398,1.3256122210632166
react_206,1.687785948643011,3.287345568102873,9.362531844772542,2.0969717586135284,25.528413699216816,147.87508013767868,1.3256122210632166
react_207,1.6424587279098095,9.120885720409994,3.032589766488273,44.99554883190074,-10.29787692202814,155.8787710203705,1.988440635339029
react_208,1.6416989883037738,7.179622967969472,4.475220173332347,52.382935669348775,30.79854921357165,140.38160590906034,0.7458897859716693
react_209,1.6412094401104038,7.1815269850472845,4.371983361100683,51.175174326272135,30.598479240053344,148.30513201783077,1.8866929383908122
react_21,1.6565748101827946,8.60226142184575,6.783926365798394,96.27783856134012,31.26326346177236,149.78136354313716,0.8230152121319365
react_210,1.6412933236056468,7.190714549117226,4.204005308509421,49.27039359409195,11.511321600680375,148.71886212569038,0.31228557251126
react_211,1.6803090731865786,7.349311185452794,3.7322148673610624,45.52365327975741,36.78095742298765,144.64528180987867,1.1075894836747928
react_212,2.113796833691216,3.688492967503312,6.635215174318991,41.39321147473557,42.4682761043081,144.57907071301568,1.3684192860275959
react_213,1.656830265524601,5.277619314040695,4.581225237958296,27.42719432214452,28.944657389442312,143.65906383203466,0.1863481509286366
react_214,1.6751543608784354,7.668555336999608,5.2651385903502925,59.2111838412608,18.319016960524426,147.99097159845903,1.493427750076506
react_215,1.689001471479621,4.6653340167903385,7.84153240915031,0.3537977654281413,26.865611340028007,148.22375941368344,0.4091184007238878
react_216,1.6872139956070764,4.584011274038958,8.096979910087896,60.72800658385891,26.390324686791697,147.40434336734924,1.2234161884088224
react_217,3.242449907339447,4.899908475029729,5.232998007029028,82.27966250981478,46.00716426121555,141.11220388864658,0.06520972049115013
react_218,3.1026090378051223,6.302149442234682,6.109445009095913,17.221327750447657,31.961403765078376,142.07074261206586,2.7734997689789584
react_219,3.1094874411374085,7.256636739228228,6.04958018360572,21.15949158529297,24.938618553318868,145.45393864160835,2.112330669903123
react_22,1.683459326659075,11.50651524244691,3.71609455203114,66.69904526649734,-19.42178101702687,146.5023665276882,1.4039556858223057
react_220,3.102203209636259,6.347497779432025,6.095098684348505,19.958047297433545,40.18050534527714,134.43034588916467,3.3719641172676784
react_221,3.089782782508591,7.543332337375368,6.585087477462989,6.791808246455807,30.54903444319065,131.74392545533502,2.8730026748254267
react_222,3.098023665103179,5.374606029917487,7.01353428897322,33.3514750331844,41.54435983933523,140.80801402997878,1.988440635339029
react_223,1.6806376540862478,6.341604427297431,6.52213697300012,36.17050845510795,40.46054920433637,141.2024925865861,0.17518900765016063
react_224,1.7116078243723116,4.844201119866754,6.846159382062673,16.727746347018677,31.284190902563505,142.86982603383458,0.8800804961461687
react_225,2.5205065034212404,3.095974024659048,8.289247947855408,26.820777445257352,39.301943393942345,142.66551384530203,2.494054670518096
react_226,3.1237128942360664,3.150168021862544,5.811868747778311,56.87431967619973,45.59400750875778,139.83594940270618,1.4470889050346116
react_227,2.793089337439093,6.561411284913918,6.739144062498542,93.27468409647068,19.4511823456874,139.5592773402767,1.5981284553068844
react_228,3.076538051504874,7.5195057873388755,6.121492346996835,0.0081587265931338,10.751287591159958,144.6459897660616,1.6973122680433244
react_229,3.108616087146151,7.435764188263935,6.048847387412483,31.515113041231285,32.07301548577827,141.28821012904768,2.5517882814393
react_23,3.0781072983747846,6.34979570992042,6.50372528407045,18.16064519284572,43.79684693319231,138.7673905736042,2.5830854507418013
react_230,3.1082860285906846,6.529655756925048,6.047211683168968,20.12506637216325,41.08063241252548,132.04430946907334,2.0111536403510075
