,Q1_B1,Q1_B5,Q1_L,Q1_BFS2,Q1_NWESPMIN,Q1_99ESPMAX,Q1_NATURAL CHARGE,Q2_B1,Q2_B5,Q2_L,Q2_BFS2,Q2_NWESPMIN,Q2_99ESPMAX,Q2_NATURAL CHARGE,Q3_B1,Q3_B5,Q3_L,Q3_BFS2,Q3_NWESPMIN,Q3_99ESPMAX,Q3_NATURAL CHARGE,Q4_B1,Q4_B5,Q4_L,Q4_BFS2,Q4_NWESPMIN,Q4_99ESPMAX,Q4_NATURAL CHARGE,HOMO,LUMO,C0_nat_charge,C1_nat_charge,pert1,pert2,pert3,pi_orb_energy,pi*_orb_energy,AlkC1_RDF_1,AlkC1_RDF_2,AlkC1_RDF_3,AlkC1_RDF_4,AlkC1_RDF_5,AlkC1_RDF_6,AlkC1_RDF_7,AlkC1_RDF_8,AlkC1_RDF_9,AlkC1_RDF_10,AlkC2_RDF_1,AlkC2_RDF_2,AlkC2_RDF_3,AlkC2_RDF_4,AlkC2_RDF_5,AlkC2_RDF_6,AlkC2_RDF_7,AlkC2_RDF_8,AlkC2_RDF_9,AlkC2_RDF_10,ddG er (kcal/mol)
react_562,2.257016658782959,5.1856689453125,5.262705326080322,34.54961395263672,228.08839416503903,501.53558349609375,-0.4585399925708771,1.988999366760254,5.004960060119629,5.349703788757324,34.89433288574219,217.2061462402344,505.2203063964844,-0.2528899908065796,1.100000023841858,1.100000023841858,2.594358444213867,5.575279712677002,342.2778625488281,537.5413818359375,0.2212399989366531,1.100000023841858,1.100000023841858,2.5948517322540283,5.575279712677002,342.2778625488281,537.5413818359375,0.2153300046920776,-5.741300106048584,-0.6980999708175659,-0.1819400042295456,-0.2528600096702575,5.42,2.38,2.25,-0.2571600079536438,0.068010002374649,139.91299438476562,36.53900146484375,2.6659998893737797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.93699645996094,31.64299964904785,2.5380001068115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4216422978341764
react_563,2.255009651184082,8.965415954589844,6.875116348266602,34.54961395263672,152.92178344726562,480.16351318359375,-0.4536600112915039,2.020481586456299,5.005233287811279,9.68950366973877,34.89433288574219,129.99806213378906,489.2497863769531,-0.2253600060939788,1.100000023841858,1.100000023841858,2.594172716140747,5.575279712677002,342.2778625488281,537.5413818359375,0.2227600067853927,1.100000023841858,1.100000023841858,2.594512462615967,5.575279712677002,342.2778625488281,537.5413818359375,0.2165700048208236,-5.457399845123291,-1.317399978637695,-0.1781200021505355,-0.2487100064754486,5.5,2.45,2.25,-0.2585200071334839,0.0642800033092498,140.04800415039062,35.59400177001953,27.83300018310547,62.90999984741211,0.0,87.12699890136719,4.381999969482422,2.628999948501587,0.0,0.0,144.09500122070312,29.045000076293945,52.18366622924805,41.06133270263672,57.479000091552734,34.029998779296875,2.628999948501587,0.0,0.0,0.0,1.6581632477531376
react_564,2.199580669403076,5.001771450042725,8.161398887634277,34.89433288574219,56.00662612915039,506.9392700195313,-0.1741400063037872,2.2603437900543213,8.57359504699707,5.362411975860596,34.54961395263672,72.47433471679688,504.9924011230469,-0.4609600007534027,1.100000023841858,1.100000023841858,2.594975233078003,5.575279712677002,342.2778625488281,537.5413818359375,0.218529999256134,1.100000023841858,1.100000023841858,2.593711853027344,5.575279712677002,342.2778625488281,537.5413818359375,0.2263199985027313,-6.128699779510498,-1.6892999410629272,-0.262580007314682,-0.1476200073957443,5.78,2.42,2.3,-0.2692199945449829,0.0539599992334842,143.25799560546875,28.580249786376957,56.602500915527344,27.45974922180176,5.06374979019165,1.6367499828338623,0.0,0.0,0.0,0.0,138.67799377441406,35.374000549316406,21.699750900268555,58.51324844360352,1.6354999542236328,6.700500011444092,0.0,0.0,0.0,0.0,0.3479594881065919
react_565,2.279466152191162,5.93388032913208,5.372310161590576,34.54961395263672,213.9405212402344,495.6637878417969,-0.4668999910354614,1.970302939414978,5.8084917068481445,5.499972820281982,34.89433288574219,200.07708740234372,502.0273132324219,-0.2588599920272827,1.100000023841858,1.100000023841858,2.596151351928711,5.575279712677002,342.2778625488281,537.5413818359375,0.2183299958705902,1.100000023841858,1.100000023841858,2.5967135429382324,5.575279712677002,342.2778625488281,537.5413818359375,0.2117999941110611,-5.8119001388549805,-0.7379000186920166,-0.1773499995470047,-0.2587800025939941,5.67,3.57,3.07,-0.2533200085163116,0.068230003118515,140.06199645996094,60.72200012207031,5.203000068664551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.4864959716797,51.8745002746582,7.625999927520752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3359907203992285
react_566,2.285057306289673,10.30862522125244,5.383992671966553,34.54961395263672,151.21420288085938,480.2563171386719,-0.4634700119495392,2.1721553802490234,5.778762340545654,9.758519172668455,34.89433288574219,120.76736450195312,485.97119140625,-0.2322999984025955,1.100000023841858,1.100000023841858,2.5964066982269287,5.575279712677002,342.2778625488281,537.5413818359375,0.2199400067329406,1.100000023841858,1.100000023841858,2.59712028503418,5.575279712677002,342.2778625488281,537.5413818359375,0.2125200033187866,-5.54040002822876,-1.2444000244140625,-0.1759700030088424,-0.2577100098133087,5.66,3.63,3.31,-0.2552500069141388,0.0646499991416931,140.125,59.84885787963867,14.413143157958984,40.990570068359375,37.86042785644531,70.57571411132812,20.964284896850582,2.63700008392334,0.0,0.0,146.49200439453125,49.792572021484375,60.98099899291992,35.97242736816406,57.48699951171875,34.053001403808594,2.63700008392334,0.0,0.0,0.0,0.47286610187673267
react_567,1.9312540292739868,5.695620536804199,5.426146030426025,34.89433288574219,209.3659210205078,500.9489135742188,-0.2292699962854385,2.2292611598968506,5.715668678283691,4.643183708190918,34.54961395263672,219.97119140625,505.8158264160156,-0.4993500113487243,1.100000023841858,1.100000023841858,2.595632314682007,5.575279712677002,342.2778625488281,537.5413818359375,0.216509997844696,1.100000023841858,1.100000023841858,2.5965192317962646,5.575279712677002,342.2778625488281,537.5413818359375,0.2248799949884414,-5.941299915313721,-1.0205999612808228,-0.2525700032711029,-0.1639900058507919,3.15,3.08,3.07,-0.2587499916553497,0.0642099976539611,144.47900390625,65.2030029296875,5.234000205993652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.697998046875,62.979000091552734,5.238999843597412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17518900765016063
react_568,2.259119987487793,5.930792331695557,5.309794425964356,34.54961395263672,202.82418823242188,490.16156005859375,-0.4733999967575073,1.936518669128418,6.163225173950195,5.431681156158447,34.89433288574219,191.6006622314453,497.2553405761719,-0.2454400062561035,1.100000023841858,1.100000023841858,2.5981948375701904,5.575279712677002,342.2778625488281,537.5413818359375,0.2195899933576584,1.100000023841858,1.100000023841858,2.5973711013793945,5.575279712677002,342.2778625488281,537.5413818359375,0.2105000019073486,-6.191400051116943,-0.3666999936103821,-0.1871300041675567,-0.2452100068330764,8.27,3.58,2.93,-0.2632099986076355,0.0829500034451484,142.65899658203125,72.50666809082031,16.757333755493164,0.8240000009536743,0.0,0.0,0.0,0.0,0.0,0.0,148.50466918945312,65.92900085449219,17.447999954223633,0.8653333187103271,0.0,0.0,0.0,0.0,0.0,0.0,0.05432145964285669
react_569,2.2353358268737797,6.174543857574463,5.279913902282715,34.54961395263672,182.3539581298828,480.5849304199219,-0.4448800086975097,1.100000023841858,1.100000023841858,2.600325107574463,5.575279712677002,342.2778625488281,537.5413818359375,0.2017599940299987,2.2418384552001958,6.358273029327393,5.31392765045166,34.54961395263672,167.00270080566406,486.3883666992188,-0.447950005531311,1.100000023841858,1.100000023841858,2.5975472927093506,5.575279712677002,342.2778625488281,537.5413818359375,0.2084999978542328,-6.390999794006348,0.3501999974250793,-0.2088800072669983,-0.2150200009346008,3.65,3.4,3.1,-0.2532800137996673,0.0699900016188621,139.8155975341797,118.40609741210938,26.259300231933597,2.0480000972747803,0.0,0.0,0.0,0.0,0.0,0.0,136.17869567871094,107.13610076904295,41.06700134277344,2.147200107574463,0.0,0.0,0.0,0.0,0.0,0.0,0.6108562367209703
react_570,2.5192158222198486,7.461729526519775,5.262664794921875,34.54961395263672,149.58984375,477.8635559082031,-0.4418500065803528,1.100000023841858,1.100000023841858,2.5999372005462646,5.575279712677002,342.2778625488281,537.5413818359375,0.2009499967098236,2.488349199295044,7.745860576629639,5.253734111785889,34.54961395263672,149.92478942871094,474.9696044921875,-0.4357500076293945,1.100000023841858,1.100000023841858,2.59917950630188,5.575279712677002,342.2778625488281,537.5413818359375,0.2042600065469741,-6.368400096893311,0.428600013256073,-0.2014700025320053,-0.2137400060892105,4.05,3.57,2.61,-0.2512800097465515,0.0756800025701522,133.86439514160156,125.279296875,54.087501525878906,32.397300720214844,3.801500082015991,0.0,0.0,0.0,0.0,0.0,134.89239501953125,113.72879791259766,54.9922981262207,41.2681999206543,4.548299789428711,0.0,0.0,0.0,0.0,0.0,0.8416047555871515
react_571,2.4429478645324707,6.916860103607178,5.2795939445495605,34.54961395263672,171.8625946044922,475.9117736816406,-0.4381200075149536,1.100000023841858,1.100000023841858,2.599569797515869,5.575279712677002,342.2778625488281,537.5413818359375,0.2043499946594238,2.281865119934082,7.464227199554443,5.399850368499756,34.54961395263672,129.7030487060547,489.5242004394531,-0.4560100138187408,1.100000023841858,1.100000023841858,2.594477653503418,5.575279712677002,342.2778625488281,537.5413818359375,0.2137199938297271,-6.123899936676025,0.4979999959468841,-0.2157299965620041,-0.2113000005483627,4.65,3.73,3.35,-0.2510699927806854,0.0742999985814094,136.20582580566406,107.1701202392578,94.27864837646484,11.53076457977295,0.3076470494270324,0.0,0.0,0.0,0.0,0.0,138.69241333007812,101.45664978027344,69.92376708984375,36.02788162231445,3.39229416847229,0.0,0.0,0.0,0.0,0.0,0.9204756701103063
react_572,2.2562508583068848,7.12578010559082,5.352428913116455,34.54961395263672,174.31149291992188,466.0801696777344,-0.4488700032234192,1.100000023841858,1.100000023841858,2.599922180175781,5.575279712677002,342.2778625488281,537.5413818359375,0.1986999958753585,2.4655661582946777,6.957088470458984,5.3079447746276855,34.54961395263672,167.48951721191406,472.3310546875,-0.4406400024890899,1.100000023841858,1.100000023841858,2.597487688064575,5.575279712677002,342.2778625488281,537.5413818359375,0.2080599963665008,-6.372700214385986,0.2635000050067901,-0.198400005698204,-0.2149499952793121,3.54,3.4,3.35,-0.2533999979496002,0.0734699964523315,137.42234802246094,108.20044708251952,94.14309692382812,9.35540008544922,0.2587000131607055,0.0,0.0,0.0,0.0,0.0,136.9134063720703,114.29135131835938,90.7199478149414,7.32765007019043,0.1276499927043914,0.0,0.0,0.0,0.0,0.0,0.2427839017942895
react_573,2.4423773288726807,7.992036819458008,5.367437839508057,34.54961395263672,118.7169189453125,462.4501953125,-0.4469799995422363,1.100000023841858,1.100000023841858,2.599668264389038,5.575279712677002,342.2778625488281,537.5413818359375,0.2024299949407577,2.413414716720581,8.736668586730957,7.369406223297119,34.54961395263672,99.0652847290039,472.2000732421875,-0.4453200101852417,1.100000023841858,1.100000023841858,2.5990281105041504,5.575279712677002,342.2778625488281,537.5413818359375,0.2017499953508377,-6.449299812316895,0.5192999839782715,-0.2156600058078766,-0.2003699988126754,3.28,3.23,2.84,-0.2530100047588348,0.0722199976444244,137.56056213378906,59.690059661865234,71.54402923583984,101.1585922241211,63.94121170043945,12.809778213500977,0.8302717804908752,0.0024883945006877,0.0,0.0,137.52685546875,59.60581207275391,71.04594421386719,104.43828582763672,61.59633255004883,12.489032745361328,0.829865574836731,0.0048762089572846,0.0,0.0,0.5962845799464882
react_574,3.6189680099487305,4.219479084014893,8.314023971557617,35.239051818847656,169.49241638183594,499.2362365722656,-0.0032999999821186,1.100000023841858,1.100000023841858,2.597474813461304,5.575279712677002,342.2778625488281,537.5413818359375,0.2134100049734115,2.250496864318848,6.777017593383789,7.827381134033203,34.54961395263672,153.76419067382812,493.6800537109375,-0.4536100029945373,1.100000023841858,1.100000023841858,2.5987443923950195,5.575279712677002,342.2778625488281,537.5413818359375,0.2298000007867813,-6.172800064086914,-0.8015000224113464,-0.2895900011062622,-0.1342999935150146,4.46,2.87,2.75,-0.2650699913501739,0.0537099987268447,152.60899353027344,27.363258361816406,134.77218627929688,110.31396484375,38.553489685058594,22.2490291595459,5.145749092102051,0.5474145412445068,0.0279090907424688,0.0,143.49847412109375,64.93878173828125,28.045610427856445,131.18016052246094,74.17462158203125,44.8467025756836,4.8789963722229,0.0186545457690954,0.0,0.0,2.1861892170641193
react_575,2.285988569259644,6.382437229156494,11.01197624206543,34.54961395263672,-13.458759307861328,494.6222229003906,-0.4404299855232239,2.199485540390014,2.7345876693725586,4.047970771789551,19.545366287231445,282.1108703613281,520.036865234375,-0.651669979095459,2.2047438621521,2.7316133975982666,4.023882389068604,19.545366287231445,282.3984680175781,517.2135620117188,-0.6405699849128723,1.100000023841858,1.100000023841858,2.598991870880127,5.575279712677002,342.2778625488281,537.5413818359375,0.2036499977111816,-6.279300212860107,0.1738999933004379,-0.220669999718666,-0.0150399999693036,4.43,4.37,4.2,-0.2518700063228607,0.0763199999928474,155.50909423828125,52.00605773925781,36.56045913696289,39.02090835571289,28.61680221557617,33.12607192993164,19.98953437805176,9.878429412841797,2.412647008895874,0.0,142.29299926757812,23.14968681335449,41.73860549926758,49.0954475402832,32.75028610229492,29.34499740600586,28.20721435546875,17.691776275634766,12.848977088928224,0.0,1.7424106968488484
react_576,2.2515132427215576,8.555375099182129,7.524161338806152,28.68031311035156,111.80709838867188,510.0389099121094,-0.0852499976754188,2.240655899047852,3.629701852798462,4.122625350952148,28.68031311035156,143.06063842773438,532.7313232421875,-0.0774599984288215,1.100000023841858,1.100000023841858,2.5978429317474365,5.575279712677002,342.2778625488281,537.5413818359375,0.2174399942159652,1.100000023841858,1.100000023841858,2.596914052963257,5.575279712677002,342.2778625488281,537.5413818359375,0.2174299955368042,-6.57480001449585,-0.1941000074148178,-0.2556900084018707,-0.2345799952745437,5.12,4.83,3.44,-0.2724100053310394,0.0571900010108947,128.0796661376953,40.96850204467773,58.70978546142578,45.22857284545898,38.94903564453125,39.28640365600586,10.586495399475098,0.8945412635803223,0.0,0.0,129.7945098876953,29.008947372436523,43.53496551513672,40.32582473754883,43.922271728515625,37.17205429077149,30.36906623840332,7.857435703277588,0.7179273962974548,0.0,0.7629581510315863
react_577,2.253238677978516,4.144504070281982,6.185402870178223,34.54961395263672,201.3017578125,505.0084533691406,-0.4600400030612945,2.237325429916382,3.633739709854126,4.134895324707031,28.68031311035156,137.0839385986328,538.9661254882812,-0.06751000136137,1.100000023841858,1.100000023841858,2.597617149353028,5.575279712677002,342.2778625488281,537.5413818359375,0.2152899950742721,1.100000023841858,1.100000023841858,2.5987064838409424,5.575279712677002,342.2778625488281,537.5413818359375,0.2103700041770935,-6.74459981918335,0.2081000059843063,-0.1964100003242492,-0.257530003786087,4.87,4.47,2.39,-0.264519989490509,0.063910000026226,131.352294921875,45.40309143066406,16.415597915649414,0.527011513710022,0.0,0.0,0.0,0.0,0.0,0.0,133.5107879638672,17.570045471191406,32.59686279296875,9.551770210266112,0.468540221452713,0.0,0.0,0.0,0.0,0.0,0.9273913295952118
react_578,2.228761672973633,8.84041976928711,5.842948913574219,28.68031311035156,110.6795883178711,509.1651306152344,-0.0819799974560737,2.2762184143066406,4.0584397315979,6.002567291259766,28.68031311035156,171.46295166015625,518.9253540039062,-0.0767100006341934,1.100000023841858,1.100000023841858,2.597500324249268,5.575279712677002,342.2778625488281,537.5413818359375,0.2182800024747848,1.100000023841858,1.100000023841858,2.5978567600250244,5.575279712677002,342.2778625488281,537.5413818359375,0.2206400036811828,-6.333399772644043,-0.0469000004231929,-0.2454400062561035,-0.2312700003385543,5.54,5.02,3.19,-0.2688399851322174,0.0669799968600273,127.2193832397461,48.23880386352539,73.35235595703125,52.93259811401367,38.77611923217773,35.201541900634766,10.319046974182127,0.8861526846885681,0.0,0.0,128.37220764160156,40.5314826965332,56.8268928527832,44.63764190673828,44.262306213378906,34.353782653808594,29.9543571472168,7.323320388793945,0.6640129089355469,0.0,0.25421810620497404
react_580,2.287768840789795,6.564516067504883,12.86897087097168,34.54961395263672,4.694555759429932,484.6467590332031,-0.4589599967002868,1.100000023841858,1.100000023841858,2.5938072204589844,5.575279712677002,342.2778625488281,537.5413818359375,0.1982499957084655,1.100000023841858,1.100000023841858,2.59382438659668,5.575279712677002,342.2778625488281,537.5413818359375,0.2071299999952316,1.100000023841858,1.100000023841858,2.598510980606079,5.575279712677002,342.2778625488281,537.5413818359375,0.2080000042915344,-6.861199855804443,0.5823000073432922,-0.1930499970912933,-0.4254499971866607,4.69,4.67,2.05,-0.2605400085449219,0.0605500005185604,116.39065551757812,25.05215835571289,31.27316665649414,43.31728363037109,40.07571029663086,33.097557067871094,24.90507125854492,14.11186408996582,5.272531986236572,0.0,90.50629425048828,24.99462890625,34.78708267211914,40.13518905639648,41.12147903442383,33.538726806640625,30.11053276062012,20.62004852294922,17.682016372680664,0.0,1.5435335641084713
react_581,2.25344181060791,11.712848663330078,8.579166412353516,34.54961395263672,25.996042251586918,481.1202392578125,-0.4521700143814087,1.100000023841858,1.100000023841858,2.5959572792053223,5.575279712677002,342.2778625488281,537.5413818359375,0.1950999945402145,1.100000023841858,1.100000023841858,2.594095230102539,5.575279712677002,342.2778625488281,537.5413818359375,0.2048200070858001,1.100000023841858,1.100000023841858,2.5992252826690674,5.575279712677002,342.2778625488281,537.5413818359375,0.2045100033283233,-6.832399845123291,0.3695999979972839,-0.1958799958229065,-0.4092699885368347,4.37,2.56,2.08,-0.2589299976825714,0.0626899972558021,116.32858276367188,26.647485733032227,31.394784927368164,41.8947868347168,35.62767028808594,32.9105110168457,22.401538848876957,16.31652069091797,17.49711799621582,0.0,90.4143295288086,25.572853088378903,37.24037170410156,38.5493392944336,38.43235778808594,31.377309799194336,29.81904411315918,20.002174377441406,29.61121368408203,0.0,1.5981284553068844
