,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_672,1.822623384148992,5.66392880164728,5.518145654859848,2.2612490346405343,11.941838904605614,151.19583564925549,0.000201384514982,3.101764187091007,6.063058831090122,0.0037115244195637,48.6909606386987,146.6965205301856,-6.3585,-1.759,-0.30878,-0.13773,3.94,3.61,3.57,-0.25367,0.03487,163.11136363636365,50.91972727272727,115.46854545454543,96.81154545454544,7.240363636363637,0.0,0.0,0.0,0.0,0.0,174.08136363636365,58.532272727272726,126.69027272727271,49.66627272727272,22.97636363636364,1.6050000000000002,0.0,0.0,0.0,0.0,2.4791099997746713
react_673,1.45416445848655,5.999953959618409,7.16474036218257,58.67587651689203,23.491963243562022,152.0511069591389,1.68521783265945,4.340352527560644,5.303723445413382,33.063066356419604,38.252815960306464,151.6549075205638,-6.8552,-1.049,-0.15348,-0.33177,5.63,4.97,4.7,-0.24683,0.03921,128.24556426332285,68.54146708463945,71.83318181818181,85.11365203761748,43.856811912225695,26.362874608150477,5.094793103448276,0.3189843260188087,0.0,0.0,144.32547962382446,46.72510971786832,94.13545454545456,55.49543573667711,42.35639184952977,32.06453918495298,11.098702194357362,2.918153605015673,0.2480626959247649,0.0,2.143263573727441
react_674,1.6980146708745911,3.111003553391696,3.6622013729601934,19.2819064745304,55.7452814643247,143.7651215291754,1.7536294215234698,7.585455853454297,4.909716505672584,0.0029267519208898,29.16155038981694,154.05989259308672,-6.8827,-1.0505,-0.12122,-0.34237,5.48,5.4,4.37,-0.24782,0.03763,151.61312087912088,45.03854945054946,19.95596703296704,61.416175824175816,45.68329670329671,56.74029670329671,25.949010989011,8.001483516483516,0.4998131868131867,0.0,146.19915384615385,38.74332967032967,88.28358241758241,27.256791208791213,48.985923076923065,50.15924175824175,14.354505494505498,0.9151868131868136,0.0,0.0,1.988440635339029
react_675,2.68955333924502,5.148891989509155,6.6784522710131045,36.75064627654204,28.439955853340948,140.75011931610842,1.686477122021309,3.137073278718233,4.681041829390602,21.11303323557673,50.308822055173536,147.6842859463802,-5.6515,-0.8341,-0.22159,-0.17643,4.89,4.82,3.6,-0.24215,0.04426,177.38898148148152,27.872175925925927,103.2002777777778,78.92661111111109,19.73424074074075,5.955111111111109,0.0,0.0,0.0,0.0,138.98388888888886,57.79664814814815,66.11850925925924,90.06520370370373,25.78189814814816,20.08408333333336,13.998361111111114,0.2488055555555555,0.0,0.0,2.3044955104395437
react_677,1.6865314047464413,5.503633115786212,7.685771335619941,52.70815274653913,4.318291250203709,148.979057985747,0.0002384640865138,3.1017647764497807,6.063000176840069,0.0022933611097703,48.69553643774664,139.424686285573,-6.0098,-0.9991,-0.17779,-0.21994,4.84,3.95,3.71,-0.24286,0.04203,139.28405590062104,69.90346583850933,93.48708695652172,84.87332298136643,16.780322981366464,9.851900621118013,0.6003664596273289,0.0,0.0,0.0,174.71527329192548,31.590105590062105,129.98639751552804,36.94327329192544,21.878732919254656,13.431335403726706,5.439447204968944,0.7551366459627328,0.0408198757763975,0.0,1.5981284553068844
react_678,0.0004275003041239,3.103390368634816,7.343102626020165,0.0081930974420372,37.49411434164158,146.3578793349036,0.0004536766528899,3.1034238862588914,7.343087823033566,0.0051872626026155,37.42489019531221,148.29175828502366,-5.7862,-1.8726,-0.19167,-0.19168,4.7,2.97,2.96,-0.27254,0.01348,180.5,31.136,143.911,61.588,106.964,104.701,0.0,0.0,0.0,0.0,180.5,31.136,143.911,61.588,106.964,104.701,0.0,0.0,0.0,0.0,1.80022089069684
react_679,0.0006154086928342,3.102969052825088,7.611990583415682,0.009669845743686,49.191192864109006,145.6521547639024,0.0002567330507091,3.102953084270378,7.612001150648401,0.0043436281929491,49.00371794689772,148.78538421624623,-5.8228,-1.9388,-0.19082,-0.19081,4.69,2.96,2.96,-0.26141,0.02836,178.0575,49.174,113.905,75.16150000000002,192.9725,189.569,0.0,0.0,0.0,0.0,179.252,32.379000000000005,143.9315,61.866,191.8645,189.5465,0.0,0.0,0.0,0.0,1.7249256291987816
react_680,0.0302433691030893,4.613144945706514,6.066891949547973,0.0062991696840621,52.67215210788004,145.887251500218,0.0370863160397948,4.613175753622808,6.066890154414727,0.0011707347668862,53.552102925922576,144.49371982433678,-5.9395,-1.6624,-0.19405,-0.19387,9.89,9.74,4.72,-0.25592,0.03065,174.44849999999997,314.122,238.65625000000003,67.06875,4.8055,0.0,0.0,0.0,0.0,0.0,174.4455,314.12024999999994,238.6595,67.06875000000001,4.807,0.0,0.0,0.0,0.0,0.0,2.494054670518096
react_681,0.0005540208141957,3.1049690910845635,7.41279778207703,0.0092024657016118,5.831833484521683,152.09069621778335,1.3736906544564529,3.104879577255827,7.412800121974267,0.008001248242643,6.2075309964765575,153.708534228155,-6.7582,-3.199,-0.18099,-0.18103,4.64,2.88,2.88,-0.28202,0.00938,178.729,30.936,144.19400000000002,62.176,15.774,77.60900000000001,21.266,0.0,0.0,0.0,178.73000000000002,30.935,144.19600000000003,62.17400000000001,15.772,77.612,21.265,0.0,0.0,0.0,1.2897496671392166
react_682,1.6750052382514402,5.955377992348672,5.21035856400511,44.93594394558104,36.24648194310306,147.96383721050623,1.683928516567121,8.019397826290332,3.7163197410054463,28.17499140691084,14.519213378452225,148.87526986485378,-6.5427,-0.2438,-0.19528,-0.20986,4.83,4.43,4.05,-0.24161,0.04339,140.41790487804886,85.71264146341467,69.44218292682925,103.09159512195116,21.006280487804872,13.458687804878045,7.033963414634153,1.6159878048780487,0.0672829268292682,0.0,133.83040000000005,75.42473170731704,74.78730243902434,89.29313658536581,50.16188780487806,16.71430487804877,1.6291560975609731,0.0056073170731707,0.0,0.0,2.271235607709044
react_683,3.1084807638057192,7.4358334573750895,6.048833173627196,31.508889704595862,41.04233293684359,133.1345981353245,1.6567802021953626,2.862425094950157,2.722973119315669,12.84788197190352,44.74256137109551,148.19934665979957,-5.7352,-1.6605,-0.22441,-0.19006,4.6,4.37,3.43,-0.2966,0.02623,167.2910121951219,47.83491463414633,120.36174390243907,103.5771463414634,17.8865243902439,1.1514024390243902,0.0,0.0,0.0,0.0,137.62673170731708,48.40637804878048,98.05267073170734,114.34554878048782,39.959048780487805,17.75836585365854,1.9237073170731709,0.0302926829268292,0.0,0.0,1.6301134309019938
react_684,1.693715061177087,8.039009374120782,8.702918804484229,57.24422830260399,13.159656508494471,152.2420570237895,1.7030357170682,3.1367385769707847,4.501178914131691,16.569298632135645,38.26656023745503,152.98945675766106,-7.3929,-1.8536,-0.13086,-0.32087,5.7,4.57,4.49,-0.46848,-0.12533,132.21291443850265,77.60442245989302,82.55921390374328,89.6995828877005,52.82197860962568,36.84935828877005,26.9897486631016,12.856058823529416,2.8068609625668444,0.1868181818181818,147.17382887700523,31.310818181818185,76.38176470588235,72.14236898395721,70.40227272727276,47.05988235294119,32.25441176470587,22.69738502673797,12.19163636363636,2.972588235294117,1.3706847062383425
react_689,3.122960249112751,8.599008653667504,5.175088429317517,75.5705490512961,25.36908653499984,149.03026137789658,1.222644724963045,3.763207223490096,5.573522371804303,25.53471597190933,35.41710713324299,155.6653130695801,-6.014,-1.2097,-0.13132,-0.32935,5.61,4.48,3.52,-0.25045,0.03445,169.7553271028038,165.1098068535826,97.09307476635504,79.4485015576324,52.28340186915884,39.60480996884738,10.910127725856697,0.7849003115264797,0.0,0.0,144.21119937694698,93.179753894081,152.05707788161985,107.25362616822429,45.725685358255454,38.34840809968848,24.041355140186923,9.737638629283488,0.4352056074766355,0.0,1.1630639821894162
react_691,1.6744205696046623,7.5733296860857156,4.631076721207828,56.58348193775435,-12.016280227411189,141.53282191694362,1.664744267782155,1.6647795097942335,2.3545155223377683,5.651015449405463,67.07926242571814,150.82742904431905,-6.5049,-1.0027,-0.23666,-0.19387,4.85,4.62,3.92,-0.25274,0.03254,242.8872558139534,107.80541860465117,75.4426511627907,138.170511627907,52.68667441860466,42.90727906976745,2.7984186046511628,0.0,0.0,0.0,115.0639302325581,128.75202325581395,142.08730232558136,99.95386046511626,84.9992558139535,56.72813953488372,32.60097674418604,2.512720930232559,0.0,0.0,0.10891635073214331
react_692,1.4810029269686242,4.535709484740816,7.835889982128037,51.16050236267194,15.864999929618456,149.5500233295068,1.6841421630286215,7.218098975576701,3.716378972084727,20.95983661955343,15.44737568624708,151.65864459045548,-6.7007,0.087,-0.20404,-0.20314,4.83,3.98,3.93,-0.3766,0.02128,134.0983807531382,62.21906066945614,93.3950564853556,78.69428451882847,67.25948953974904,49.80142050209202,18.864834728033465,1.956851464435146,0.0439979079497907,0.0,134.1126924686192,63.5036820083682,90.86373640167356,76.05463598326355,69.43624686192474,48.47139330543933,20.856782426778235,2.926688284518828,0.1075188284518828,0.0,2.494054670518096
react_693,0.0003233475799094,3.101716821974605,6.063210080902108,0.0048830195577977,48.59979242348746,145.5602429499704,1.753883182523979,7.585327747714891,4.909916154231167,0.0027352248915038,27.062510821954195,153.39498933282144,-6.5227,-1.927,-0.13664,-0.31543,4.02,3.81,3.69,-0.25608,0.0325,170.93483333333336,33.03775,106.06404166666664,64.68966666666668,41.90495833333335,57.132375,27.88479166666667,13.078583333333336,0.7361666666666666,0.0,153.91045833333334,29.55316666666667,117.91816666666666,96.02658333333332,49.71741666666667,49.125125,17.950333333333333,1.2619166666666668,0.0,0.0,1.7424106968768256
react_694,1.5395628608457774,3.1013356934234726,7.386410856503138,16.948973000679715,26.37277763951005,149.79535317648808,1.5397948472786982,3.101244974395673,7.386349534780366,16.945252484181832,24.808722085205567,147.6306832717759,-6.3334,-2.3241,-0.18603,-0.18603,4.72,2.94,2.88,-0.26966,0.01714,177.09499999999997,33.29,145.43699999999998,63.872,30.823,51.166,22.576,0.0,0.0,0.0,177.09599999999998,33.289,145.43,63.884,30.817,62.457,11.286,0.0,0.0,0.0,1.2557522304511262
react_695,1.1931153627610256,3.1002611471181853,7.089457653125307,12.522916598674142,46.06689061247497,142.0022562286192,1.192698902826244,3.100322465659968,7.089442324325209,12.51559065228864,46.06541533771336,143.73223758571288,-5.4181,-1.4166,-0.19389,-0.19389,4.71,2.97,2.97,-0.24232,0.04714,179.195,34.025499999999994,146.18800000000002,64.4965,32.4565,28.622,1.2235,0.0,0.0,0.0,179.19550000000004,34.026,146.1915,64.48649999999999,32.463,27.3875,2.457,0.0,0.0,0.0,1.6581632478099713
react_696,1.8053669139731177,6.889691485681761,5.093444693916949,53.61443830997366,26.14314688717513,149.61259505970244,0.0003648082675879,3.101786210368631,6.063192269453372,0.00549522511595,49.01970544489607,147.07328612600767,-6.4526,-1.7435,-0.27057,-0.18484,5.21,4.86,3.11,-0.25349,0.03151,164.35717142857146,67.41745714285715,104.43871428571428,99.66031428571428,45.86820000000002,35.18091428571428,9.797685714285713,0.9440857142857144,0.0,0.0,173.4811142857143,56.22597142857144,134.36365714285714,59.289028571428574,32.22171428571428,48.02328571428571,13.289342857142852,10.0454,0.7250285714285715,0.0,2.112330669903123
